# time, north, east, depth, roll, pitch, yaw, vnorth, veast, vup, altitude
1623540651.795 25.985 190.905 2.025 -2.303 0.588 224.351 0.119 0.156 -0.174 0.721
1623540651.995 26.013 190.943 2.062 -2.172 0.598 223.778 0.131 0.196 -0.171 0.721
1623540652.195 26.044 190.993 2.098 -2.053 0.627 223.027 0.124 0.178 -0.162 0.509
1623540652.395 26.077 191.042 2.166 -1.933 0.685 222.122 0.121 0.192 -0.154 0.303
1623540652.595 26.077 191.042 2.166 -1.933 0.685 222.122 0.121 0.192 -0.154 0.227
1623540652.795 26.077 191.042 2.166 -1.933 0.685 222.122 0.121 0.192 -0.154 0.199
1623540652.995 26.120 191.121 2.241 -1.720 1.009 221.954 0.059 0.135 -0.153 0.189
1623540653.195 26.145 191.162 2.279 -1.470 1.007 220.564 0.146 0.200 -0.177 0.185
1623540653.395 26.172 191.198 2.313 -1.488 1.108 219.756 0.125 0.161 -0.169 0.183
1623540653.595 26.198 191.234 2.349 -1.538 1.198 219.098 0.113 0.178 -0.164 0.183
1623540653.795 26.217 191.273 2.430 -1.616 1.248 218.635 0.062 0.188 -0.170 0.183
1623540653.995 26.236 191.312 2.467 -1.728 1.191 218.131 0.116 0.170 -0.173 0.559
1623540654.195 26.250 191.341 2.502 -1.844 1.113 217.671 0.073 0.155 -0.158 0.927
1623540654.395 26.263 191.374 2.537 -1.968 0.992 216.940 0.050 0.149 -0.163 1.062
1623540654.595 26.275 191.406 2.573 -2.088 0.871 216.126 0.059 0.156 -0.169 1.111
1623540654.795 26.286 191.444 2.609 -2.218 0.761 215.307 0.040 0.202 -0.170 1.130
1623540654.995 26.291 191.470 2.665 -2.238 0.727 214.937 0.038 0.202 -0.173 1.136
1623540655.195 26.288 191.467 2.693 -2.265 0.686 214.472 0.036 0.199 -0.173 1.139
1623540655.395 26.303 191.502 2.737 -2.508 0.600 214.878 0.059 0.147 -0.178 1.140
1623540655.595 26.312 191.535 2.774 -2.363 0.383 212.815 0.014 0.162 -0.162 1.140
1623540655.795 26.314 191.565 2.807 -2.252 0.359 211.895 0.007 0.112 -0.153 1.834
1623540656.095 26.309 191.564 2.847 -2.105 0.332 210.834 -0.000 0.123 -0.142 2.218
1623540656.295 26.307 191.578 2.885 -1.913 0.404 210.449 -0.018 0.075 -0.128 2.197
1623540656.495 26.300 191.596 2.908 -1.772 0.517 209.800 -0.048 0.109 -0.117 2.175
1623540656.695 26.298 191.628 2.936 -1.671 0.667 209.546 0.023 0.194 -0.151 2.155
1623540656.895 26.304 191.669 2.965 -1.610 0.857 208.579 0.036 0.191 -0.122 2.126
1623540657.095 26.312 191.708 2.988 -1.580 1.037 208.182 0.035 0.181 -0.102 2.099
1623540657.295 26.322 191.750 3.008 -1.609 1.237 207.439 0.055 0.223 -0.090 2.081
1623540657.495 26.335 191.805 3.014 -1.580 1.291 206.693 0.052 0.224 -0.087 2.069
1623540657.695 26.335 191.805 3.014 -1.580 1.291 206.693 0.052 0.224 -0.087 2.065
1623540657.895 26.365 191.863 3.037 -1.768 1.788 206.777 0.106 0.202 -0.073 2.051
1623540658.095 26.383 191.906 3.052 -1.631 1.830 205.187 0.057 0.211 -0.069 2.025
1623540658.295 26.402 191.971 3.067 -1.659 1.950 204.509 0.066 0.215 -0.034 2.016
1623540658.495 26.402 191.971 3.067 -1.659 1.950 204.509 0.066 0.215 -0.034 2.012
1623540658.695 26.422 192.035 3.074 -1.738 2.040 203.625 0.063 0.210 -0.008 2.011
1623540658.895 26.441 192.099 3.050 -1.778 2.032 202.541 0.057 0.209 0.016 2.010
1623540659.095 26.441 192.099 3.050 -1.778 2.032 202.541 0.057 0.209 0.016 2.010
1623540659.295 26.458 192.161 3.042 -1.789 1.961 201.602 0.052 0.204 0.033 2.010
1623540659.495 26.473 192.221 3.031 -1.720 1.802 200.752 0.043 0.192 0.046 2.002
1623540659.695 26.473 192.221 3.031 -1.720 1.802 200.752 0.043 0.192 0.046 1.994
1623540659.895 26.485 192.278 3.015 -1.640 1.592 199.955 0.033 0.181 0.056 2.017
1623540660.095 26.494 192.332 3.019 -1.541 1.343 199.313 0.028 0.171 0.061 2.029
1623540660.295 26.494 192.332 3.019 -1.541 1.343 199.313 0.028 0.171 0.061 2.036
1623540660.495 26.502 192.382 3.000 -1.490 1.132 198.939 0.021 0.159 0.064 2.045
1623540660.696 26.502 192.382 3.000 -1.490 1.132 198.939 0.021 0.159 0.064 2.048
1623540660.895 26.502 192.382 3.000 -1.490 1.132 198.939 0.021 0.159 0.064 2.049
1623540661.095 26.514 192.477 2.962 -1.629 1.030 199.121 0.017 0.144 0.059 2.063
1623540661.295 26.523 192.518 2.960 -1.502 0.962 197.565 0.046 0.160 0.052 2.075
1623540661.495 26.528 192.540 2.953 -1.548 1.067 197.165 0.022 0.139 0.051 2.097
1623540661.695 26.533 192.567 2.941 -1.579 1.198 196.583 0.020 0.117 0.067 2.110
1623540661.895 26.538 192.588 2.927 -1.648 1.377 196.039 0.034 0.085 0.060 2.116
1623540662.095 26.547 192.619 2.912 -1.728 1.548 195.731 0.050 0.214 0.082 2.134
1623540662.295 26.554 192.658 2.895 -1.828 1.708 195.262 0.018 0.154 0.081 2.138
1623540662.495 26.559 192.692 2.879 -1.859 1.839 195.029 0.023 0.171 0.074 2.140
1623540662.695 26.560 192.724 2.863 -1.898 1.948 194.512 -0.007 0.135 0.057 2.155
1623540662.895 26.564 192.753 2.850 -1.909 2.020 193.869 0.043 0.141 0.067 2.168
1623540663.095 26.564 192.753 2.850 -1.909 2.020 193.869 0.043 0.141 0.067 2.172
1623540663.295 26.564 192.753 2.850 -1.909 2.020 193.869 0.043 0.141 0.067 2.174
1623540663.495 26.579 192.837 2.816 -1.939 2.170 194.265 0.013 0.173 0.060 2.191
1623540663.695 26.584 192.876 2.805 -1.733 1.984 192.672 0.032 0.203 0.049 2.212
1623540663.895 26.592 192.917 2.780 -1.651 1.902 192.563 0.042 0.181 0.045 2.217
1623540664.095 26.600 192.952 2.772 -1.541 1.773 192.412 0.037 0.161 0.031 2.220
1623540664.295 26.609 192.989 2.767 -1.470 1.633 192.519 0.047 0.187 0.013 2.219
1623540664.495 26.620 193.032 2.766 -1.390 1.512 192.363 0.062 0.227 -0.005 2.213
1623540664.695 26.637 193.079 2.769 -1.369 1.402 192.226 0.094 0.222 -0.016 2.212
1623540664.895 26.657 193.132 2.775 -1.458 1.331 192.729 0.103 0.285 -0.047 2.210
1623540665.095 26.682 193.181 2.785 -1.577 1.300 192.897 0.130 0.180 -0.044 2.203
1623540665.295 26.682 193.181 2.724 -1.577 1.300 192.895 0.130 0.180 -0.044 2.198
1623540665.495 26.708 193.235 2.736 -1.737 1.309 192.582 0.123 0.343 -0.068 2.190
1623540665.695 26.708 193.235 2.736 -1.737 1.309 192.582 0.123 0.343 -0.068 2.187
1623540665.895 26.778 193.404 2.758 -2.178 1.609 192.024 0.135 0.290 -0.017 2.186
1623540666.095 26.808 193.461 2.763 -1.973 1.600 190.276 0.144 0.255 -0.029 2.176
1623540666.295 26.808 193.461 2.763 -1.973 1.600 190.276 0.144 0.255 -0.029 2.168
1623540666.495 26.855 193.543 2.725 -1.975 1.605 189.650 0.141 0.256 -0.019 2.164
1623540666.695 26.855 193.543 2.725 -1.975 1.605 189.650 0.141 0.256 -0.019 2.163
1623540666.895 26.855 193.543 2.725 -1.975 1.605 189.650 0.141 0.256 -0.019 2.163
1623540667.095 26.943 193.716 2.731 -1.081 1.740 187.700 0.129 0.281 -0.003 2.151
1623540667.295 26.966 193.775 2.733 -0.922 1.671 187.597 0.093 0.283 -0.024 2.143
1623540667.495 26.984 193.837 2.740 -0.821 1.581 187.910 0.075 0.310 -0.033 2.139
1623540667.695 27.002 193.899 2.779 -0.806 1.510 187.656 0.091 0.249 -0.036 2.131
1623540667.895 27.019 193.946 2.787 -0.868 1.500 188.016 0.077 0.230 -0.040 2.122
1623540668.095 27.037 193.994 2.796 -1.007 1.470 187.601 0.099 0.234 -0.046 2.112
1623540668.295 27.055 194.042 2.805 -1.186 1.470 187.520 0.069 0.220 -0.039 2.106
1623540668.495 27.055 194.042 2.805 -1.186 1.470 187.520 0.069 0.220 -0.039 2.104
1623540668.695 27.055 194.042 2.805 -1.186 1.470 187.520 0.069 0.220 -0.039 2.103
1623540668.895 27.083 194.159 2.821 -1.977 1.709 187.618 0.039 0.224 -0.022 2.076
1623540669.095 27.088 194.189 2.867 -1.995 1.700 187.501 0.038 0.224 -0.024 2.066
