# time, altitude, r1, r2, r3, r4
1623539588.726 0.000 0.000 0.000 0.000 0.000
1623539588.896 0.000 0.000 0.000 0.000 0.000
1623539589.069 0.000 0.000 0.000 0.000 0.000
1623539589.246 0.000 0.000 0.000 0.000 0.000
1623539589.431 0.000 0.000 0.000 0.000 0.000
1623539589.630 0.000 0.000 0.000 0.000 0.000
1623539589.858 0.000 0.000 0.000 0.000 0.000
1623539590.096 0.000 0.000 0.000 0.000 0.000
1623539590.264 0.000 0.000 0.000 0.000 0.000
1623539590.438 0.000 0.000 0.000 0.000 0.000
1623539590.926 0.000 0.000 0.000 0.000 0.000
1623539591.111 0.000 0.000 0.000 0.000 0.000
1623539591.309 0.000 0.000 0.000 0.000 0.000
1623539591.538 0.000 0.000 0.000 0.000 0.000
1623539591.776 0.000 0.000 0.000 0.000 0.000
1623539591.944 0.000 0.000 0.000 0.000 0.000
1623539592.117 0.000 0.000 0.000 0.000 0.000
1623539592.295 0.000 0.000 0.000 0.000 0.000
1623539592.479 0.000 0.000 0.000 0.000 0.000
1623539592.678 0.000 0.000 0.000 0.000 0.000
1623539593.218 0.000 0.000 0.000 0.000 0.000
1623539593.456 0.000 0.000 0.000 0.000 0.000
1623539593.624 0.000 0.000 0.000 0.000 0.000
1623539593.797 0.000 0.000 0.000 0.000 0.000
1623539593.976 0.000 0.000 0.000 0.000 0.000
1623539594.161 0.000 0.000 0.000 0.000 0.000
1623539594.360 0.000 0.000 0.000 0.000 0.000
1623539594.588 0.000 0.000 0.000 0.000 0.000
1623539594.826 0.000 0.000 0.000 0.000 0.000
1623539594.994 0.000 0.000 0.000 0.000 0.000
1623539595.480 0.000 0.000 0.000 0.000 0.000
1623539595.658 0.000 0.000 0.000 0.000 0.000
1623539595.842 0.000 0.000 0.000 0.000 0.000
1623539596.041 0.000 0.000 0.000 0.000 0.000
1623539596.269 0.000 0.000 0.000 0.000 0.000
1623539596.507 0.000 0.000 0.000 0.000 0.000
1623539596.676 0.000 0.000 0.000 0.000 0.000
1623539596.849 0.000 0.000 0.000 0.000 0.000
1623539597.026 0.000 0.000 0.000 0.000 0.000
1623539597.211 0.000 0.000 0.000 0.000 0.000
1623539597.723 0.000 0.000 0.000 0.000 0.000
1623539597.952 0.000 0.000 0.000 0.000 0.000
1623539598.190 0.000 0.000 0.000 0.000 0.000
1623539598.358 0.000 0.000 0.000 0.000 0.000
1623539598.532 0.000 0.000 0.000 0.000 0.000
1623539598.709 0.000 0.000 0.000 0.000 0.000
1623539598.893 0.000 0.000 0.000 0.000 0.000
1623539599.094 0.000 0.000 0.000 0.000 0.000
1623539599.322 0.000 0.000 0.000 0.000 0.000
1623539599.560 0.000 0.000 0.000 0.000 0.000
1623539600.043 0.000 0.000 0.000 0.000 0.000
1623539600.216 0.000 0.000 0.000 0.000 0.000
1623539600.394 0.000 0.000 0.000 0.000 0.000
1623539600.578 0.000 0.000 0.000 0.000 0.000
1623539600.777 0.000 0.000 0.000 0.000 0.000
1623539601.006 0.000 0.000 0.000 0.000 0.000
1623539601.244 0.000 0.000 0.000 0.000 0.000
1623539601.412 0.000 0.000 0.000 0.000 0.000
1623539601.586 0.000 0.000 0.000 0.000 0.000
1623539601.763 0.000 0.000 0.000 0.000 0.000
1623539602.263 0.000 0.000 0.000 0.000 0.000
1623539602.462 0.000 0.000 0.000 0.000 0.000
1623539602.691 0.000 0.000 0.000 0.000 0.000
1623539602.929 0.000 0.000 0.000 0.000 0.000
1623539603.097 0.000 0.000 0.000 0.000 0.000
1623539603.270 0.000 0.000 0.000 0.000 0.000
1623539603.448 0.000 0.000 0.000 0.000 0.000
1623539603.632 0.000 0.000 0.000 0.000 0.000
1623539603.832 0.000 0.000 0.000 0.000 0.000
1623539604.061 0.000 0.000 0.000 0.000 0.000
1623539604.615 0.000 0.000 0.000 0.000 0.000
1623539604.784 0.000 0.000 0.000 0.000 0.000
1623539605.471 0.000 0.000 0.000 0.000 0.000
1623539605.686 0.000 0.000 0.000 0.000 0.000
1623539605.871 0.000 0.000 0.000 0.000 0.000
1623539606.069 0.000 0.000 0.000 0.000 0.000
1623539606.298 0.000 0.000 0.000 0.000 0.000
1623539606.536 0.000 0.000 0.000 0.000 0.000
1623539606.704 0.000 0.000 0.000 0.000 0.000
1623539606.877 0.000 0.000 0.000 0.000 0.000
1623539607.365 0.000 0.000 0.000 0.000 0.000
1623539607.550 0.000 0.000 0.000 0.000 0.000
1623539607.749 0.000 0.000 0.000 0.000 0.000
1623539607.977 0.000 0.000 0.000 0.000 0.000
1623539608.215 0.000 0.000 0.000 0.000 0.000
1623539608.384 0.000 0.000 0.000 0.000 0.000
1623539608.557 0.000 0.000 0.000 0.000 0.000
1623539608.735 0.000 0.000 0.000 0.000 0.000
1623539608.919 0.000 0.000 0.000 0.000 0.000
1623539609.118 0.000 0.000 0.000 0.000 0.000
1623539609.659 0.000 0.000 0.000 0.000 0.000
1623539609.897 0.000 0.000 0.000 0.000 0.000
1623539610.065 0.000 0.000 0.000 0.000 0.000
1623539610.238 0.000 0.000 0.000 0.000 0.000
1623539610.416 0.000 0.000 0.000 0.000 0.000
1623539610.600 0.000 0.000 0.000 0.000 0.000
1623539610.799 0.000 0.000 0.000 0.000 0.000
1623539611.028 0.000 0.000 0.000 0.000 0.000
1623539611.266 0.000 0.000 0.000 0.000 0.000
1623539611.434 0.000 0.000 0.000 0.000 0.000
1623539611.920 0.000 0.000 0.000 0.000 0.000
1623539614.176 0.000 0.000 0.000 0.000 0.000
1623539614.414 0.000 0.000 0.000 0.000 0.000
1623539614.582 0.000 0.000 0.000 0.000 0.000
1623539614.756 0.000 0.000 0.000 0.000 0.000
1623539614.933 0.000 0.000 0.000 0.000 0.000
1623539615.118 0.000 0.000 0.000 0.000 0.000
1623539615.630 0.000 0.000 0.000 0.000 0.000
1623539615.858 0.000 0.000 0.000 0.000 0.000
1623539616.096 0.000 0.000 0.000 0.000 0.000
1623539616.265 0.000 0.000 0.000 0.000 0.000
1623539616.437 0.000 0.000 0.000 0.000 0.000
1623539616.615 0.000 0.000 0.000 0.000 0.000
1623539616.799 0.000 0.000 0.000 0.000 0.000
1623539616.998 0.000 0.000 0.000 0.000 0.000
1623539617.227 0.000 0.000 0.000 0.000 0.000
1623539617.465 0.000 0.000 0.000 0.000 0.000
1623539617.947 0.000 0.000 0.000 0.000 0.000
1623539618.120 0.000 0.000 0.000 0.000 0.000
1623539618.297 0.000 0.000 0.000 0.000 0.000
1623539618.482 0.000 0.000 0.000 0.000 0.000
1623539618.680 0.000 0.000 0.000 0.000 0.000
1623539618.909 0.000 0.000 0.000 0.000 0.000
1623539619.147 0.000 0.000 0.000 0.000 0.000
1623539619.316 0.000 0.000 0.000 0.000 0.000
1623539619.491 0.000 0.000 0.000 0.000 0.000
1623539619.668 0.000 0.000 0.000 0.000 0.000
1623539620.168 0.000 0.000 0.000 0.000 0.000
1623539620.367 0.000 0.000 0.000 0.000 0.000
1623539620.596 0.000 0.000 0.000 0.000 0.000
1623539620.834 0.000 0.000 0.000 0.000 0.000
1623539621.002 0.000 0.000 0.000 0.000 0.000
1623539621.175 0.000 0.000 0.000 0.000 0.000
1623539621.353 0.000 0.000 0.000 0.000 0.000
1623539621.537 0.000 0.000 0.000 0.000 0.000
1623539621.736 0.000 0.000 0.000 0.000 0.000
1623539621.965 0.000 0.000 0.000 0.000 0.000
1623539622.519 0.000 0.000 0.000 0.000 0.000
1623539622.688 0.000 0.000 0.000 0.000 0.000
1623539622.861 0.000 0.000 0.000 0.000 0.000
1623539623.038 0.000 0.000 0.000 0.000 0.000
1623539623.223 0.000 0.000 0.000 0.000 0.000
1623539623.422 0.000 0.000 0.000 0.000 0.000
1623539623.650 0.000 0.000 0.000 0.000 0.000
1623539624.429 0.000 0.000 0.000 0.000 0.000
1623539624.611 0.000 0.000 0.000 0.000 0.000
1623539624.784 0.000 0.000 0.000 0.000 0.000
1623539625.272 0.000 0.000 0.000 0.000 0.000
1623539625.456 0.000 0.000 0.000 0.000 0.000
1623539625.655 0.000 0.000 0.000 0.000 0.000
1623539625.884 0.000 0.000 0.000 0.000 0.000
1623539626.121 0.000 0.000 0.000 0.000 0.000
1623539626.289 0.000 0.000 0.000 0.000 0.000
1623539626.462 0.000 0.000 0.000 0.000 0.000
1623539626.640 0.000 0.000 0.000 0.000 0.000
1623539626.824 0.000 0.000 0.000 0.000 0.000
1623539627.023 0.000 0.000 0.000 0.000 0.000
1623539627.563 0.000 0.000 0.000 0.000 0.000
1623539627.801 0.000 0.000 0.000 0.000 0.000
1623539627.969 0.000 0.000 0.000 0.000 0.000
1623539628.142 0.000 0.000 0.000 0.000 0.000
1623539628.320 0.000 0.000 0.000 0.000 0.000
1623539628.504 0.000 0.000 0.000 0.000 0.000
1623539628.702 0.000 0.000 0.000 0.000 0.000
1623539628.931 0.000 0.000 0.000 0.000 0.000
1623539629.168 0.000 0.000 0.000 0.000 0.000
1623539629.336 0.000 0.000 0.000 0.000 0.000
1623539629.820 0.000 0.000 0.000 0.000 0.000
1623539629.999 0.000 0.000 0.000 0.000 0.000
1623539630.183 0.000 0.000 0.000 0.000 0.000
1623539630.381 0.000 0.000 0.000 0.000 0.000
1623539630.609 0.000 0.000 0.000 0.000 0.000
1623539630.847 0.000 0.000 0.000 0.000 0.000
1623539631.015 0.000 0.000 0.000 0.000 0.000
1623539631.187 0.000 0.000 0.000 0.000 0.000
1623539631.365 0.000 0.000 0.000 0.000 0.000
1623539631.549 0.000 0.000 0.000 0.000 0.000
1623539632.059 0.000 0.000 0.000 0.000 0.000
1623539632.288 0.000 0.000 0.000 0.000 0.000
1623539632.525 0.000 0.000 0.000 0.000 0.000
1623539632.693 0.000 0.000 0.000 0.000 0.000
1623539632.866 0.000 0.000 0.000 0.000 0.000
1623539633.043 0.000 0.000 0.000 0.000 0.000
1623539633.227 0.000 0.000 0.000 0.000 0.000
1623539633.425 0.000 0.000 0.000 0.000 0.000
1623539633.654 0.000 0.000 0.000 0.000 0.000
1623539633.891 0.000 0.000 0.000 0.000 0.000
1623539634.373 0.000 0.000 0.000 0.000 0.000
1623539634.545 0.000 0.000 0.000 0.000 0.000
1623539634.722 0.000 0.000 0.000 0.000 0.000
1623539634.906 0.000 0.000 0.000 0.000 0.000
1623539635.106 0.000 0.000 0.000 0.000 0.000
1623539635.335 0.000 0.000 0.000 0.000 0.000
1623539635.572 0.000 0.000 0.000 0.000 0.000
1623539635.740 0.000 0.000 0.000 0.000 0.000
1623539635.913 0.000 0.000 0.000 0.000 0.000
1623539636.090 0.000 0.000 0.000 0.000 0.000
1623539636.588 0.000 0.000 0.000 0.000 0.000
