# time, north, east, depth, roll, pitch, yaw, vnorth, veast, vup, altitude
1623560498.222 186.197 -2086.404 18.989 -2.098 2.040 194.028 -0.002 -0.002 0.133 2.820
1623560510.422 187.408 -2085.580 16.487 -2.359 1.480 218.464 0.000 -0.000 0.011 1.470
1623560510.822 187.408 -2085.580 16.486 -2.537 1.557 218.926 0.000 -0.000 0.001 1.365
1623560511.022 187.408 -2085.580 16.486 -2.537 1.557 218.926 0.000 -0.000 0.001 1.365
1623560511.222 187.408 -2085.580 16.486 -2.322 1.510 218.003 0.000 -0.000 0.000 1.233
1623560511.422 187.408 -2085.580 16.203 -2.094 1.571 218.319 -0.000 0.000 0.046 1.267
1623560511.622 187.408 -2085.580 16.197 -1.843 1.659 218.344 0.000 0.000 0.015 2.160
1623560512.022 187.408 -2085.580 16.195 -1.371 1.918 220.041 0.000 0.000 0.002 1.475
1623560512.222 187.408 -2085.580 16.195 -1.371 1.918 220.041 0.000 0.000 0.002 1.475
1623560512.422 187.408 -2085.580 16.195 -1.371 1.918 220.041 0.000 0.000 0.002 1.475
1623560512.622 187.407 -2085.580 15.907 -0.556 2.199 221.163 -0.001 0.000 0.087 1.877
1623560513.422 187.407 -2085.580 15.901 -0.247 2.361 223.727 0.000 0.000 0.001 2.210
1623560513.822 187.407 -2085.580 15.901 -0.642 2.349 224.699 0.000 0.000 0.000 2.677
1623560517.022 187.407 -2085.580 15.068 -1.034 1.679 219.918 -0.001 0.000 0.014 1.445
1623560517.222 187.406 -2085.580 15.065 -0.545 1.680 218.105 -0.001 0.000 0.014 1.587
1623560517.422 187.406 -2085.580 15.062 -0.175 1.758 217.763 -0.001 0.000 0.014 2.220
1623560518.222 187.405 -2085.580 14.819 -0.175 2.080 220.743 -0.001 0.000 0.021 2.033
1623560518.422 187.405 -2085.580 14.815 -0.277 1.953 219.812 -0.001 0.000 0.021 1.853
1623560519.422 187.404 -2085.581 14.536 -2.004 1.751 221.172 -0.000 -0.003 0.136 1.560
1623560519.622 187.404 -2085.582 14.496 -2.169 1.542 219.705 -0.000 -0.004 0.136 1.407
1623560519.822 187.404 -2085.582 14.496 -2.169 1.542 219.705 -0.000 -0.004 0.136 1.407
1623560520.022 187.404 -2085.583 14.456 -2.468 1.381 219.982 0.000 -0.005 0.136 1.527
1623560520.222 187.404 -2085.584 14.416 -2.490 1.231 218.991 -0.000 -0.005 0.136 1.600
1623560520.422 187.404 -2085.585 14.314 -2.307 1.132 218.593 -0.001 -0.005 0.140 0.970
1623560520.822 187.403 -2085.587 14.262 -1.935 1.180 219.308 -0.001 -0.004 0.140 1.030
1623560521.222 187.403 -2085.589 14.207 -1.174 1.177 219.056 -0.003 -0.003 0.140 1.403
1623560521.422 187.403 -2085.589 14.207 -1.174 1.177 219.056 -0.003 -0.003 0.140 1.403
1623560521.622 187.402 -2085.590 14.124 -1.025 1.153 218.935 -0.003 -0.003 0.151 1.403
1623560521.822 187.367 -2085.609 14.104 -0.282 1.309 219.642 -0.111 -0.058 0.097 2.103
1623560522.422 187.305 -2085.640 14.050 0.033 1.529 222.338 -0.114 -0.052 0.097 2.205
1623560522.623 187.282 -2085.651 14.030 0.032 1.471 222.162 -0.114 -0.053 0.097 1.753
1623560522.822 187.246 -2085.667 13.942 -0.174 1.542 223.214 -0.115 -0.051 0.101 1.837
1623560525.422 186.991 -2085.756 13.432 -3.060 1.913 232.392 -0.000 0.000 0.002 1.307
1623560525.622 186.991 -2085.756 13.431 -2.628 1.901 230.501 -0.000 0.000 0.002 1.205
1623560525.822 186.991 -2085.756 13.431 -2.628 1.901 230.501 -0.000 0.000 0.002 1.205
1623560526.022 186.991 -2085.756 13.431 -2.628 1.901 230.501 -0.000 0.000 0.002 1.205
1623560526.222 186.991 -2085.756 13.431 -2.628 1.901 230.501 -0.000 0.000 0.002 1.205
1623560527.022 186.989 -2085.756 13.167 -0.632 2.151 227.154 -0.002 0.001 0.048 1.720
1623560527.422 186.988 -2085.755 13.148 -0.456 2.020 226.541 -0.002 0.001 0.048 1.953
1623560527.822 186.987 -2085.755 13.130 -0.465 1.869 227.092 -0.002 0.001 0.048 2.760
1623560532.222 186.975 -2085.754 12.066 -0.898 1.650 236.146 -0.003 0.001 0.087 1.327
1623560532.422 186.975 -2085.754 12.066 -0.898 1.650 236.146 -0.003 0.001 0.087 1.327
1623560532.622 186.978 -2085.767 12.041 -0.830 1.571 235.899 0.031 -0.099 0.095 1.478
1623560532.822 186.987 -2085.795 12.014 -1.067 1.590 237.662 0.029 -0.100 0.095 0.925
1623560536.222 187.045 -2086.135 11.277 -0.205 1.600 247.570 0.009 -0.101 0.125 2.540
1623560536.622 187.050 -2086.191 11.206 0.511 1.530 251.712 0.001 -0.100 0.127 2.080
1623560536.822 187.050 -2086.212 11.180 0.611 1.412 251.813 0.001 -0.100 0.127 2.083
