# time, altitude, r1, r2, r3, r4
1623627246.143 0.000 0.000 0.000 0.000 0.000
1623627246.312 0.000 0.000 0.000 0.000 0.000
1623627246.485 0.000 0.000 0.000 0.000 0.000
1623627246.661 0.000 0.000 0.000 0.000 0.000
1623627246.844 0.000 0.000 0.000 0.000 0.000
1623627247.041 0.000 0.000 0.000 0.000 0.000
1623627247.269 0.000 0.000 0.000 0.000 0.000
1623627247.506 0.000 0.000 0.000 0.000 0.000
1623627247.674 0.000 0.000 0.000 0.000 0.000
1623627247.846 0.000 0.000 0.000 0.000 0.000
1623627248.343 0.000 0.000 0.000 0.000 0.000
1623627248.521 0.000 0.000 0.000 0.000 0.000
1623627248.700 0.000 0.000 0.000 0.000 0.000
1623627248.879 0.000 0.000 0.000 0.000 0.000
1623627249.058 0.000 0.000 0.000 0.000 0.000
1623627249.237 0.000 0.000 0.000 0.000 0.000
1623627249.425 0.000 0.000 0.000 0.000 0.000
1623627249.634 0.000 0.000 0.000 0.000 0.000
1623627249.870 0.000 0.000 0.000 0.000 0.000
1623627250.555 0.000 0.000 0.000 0.000 0.000
1623627251.069 0.000 0.000 0.000 0.000 0.000
1623627251.246 0.000 0.000 0.000 0.000 0.000
1623627251.430 0.000 0.000 0.000 0.000 0.000
1623627251.628 0.000 0.000 0.000 0.000 0.000
1623627251.855 0.000 0.000 0.000 0.000 0.000
1623627252.091 0.000 0.000 0.000 0.000 0.000
1623627252.258 0.000 0.000 0.000 0.000 0.000
1623627252.430 0.000 0.000 0.000 0.000 0.000
1623627252.631 0.000 0.000 0.000 0.000 0.000
1623627252.800 0.000 0.000 0.000 0.000 0.000
1623627253.288 0.000 0.000 0.000 0.000 0.000
1623627253.458 0.000 0.000 0.000 0.000 0.000
1623627253.629 0.000 0.000 0.000 0.000 0.000
1623627253.804 0.000 0.000 0.000 0.000 0.000
1623627253.984 0.000 0.000 0.000 0.000 0.000
1623627254.174 0.000 0.000 0.000 0.000 0.000
1623627254.386 0.000 0.000 0.000 0.000 0.000
1623627254.624 0.000 0.000 0.000 0.000 0.000
1623627254.792 0.000 0.000 0.000 0.000 0.000
1623627254.965 0.000 0.000 0.000 0.000 0.000
1623627255.484 0.000 0.000 0.000 0.000 0.000
1623627255.674 2.120 0.000 0.000 2.120 0.000
1623627255.876 0.000 0.000 0.000 0.000 0.000
1623627256.074 1.017 1.270 0.000 1.000 0.780
1623627256.313 1.115 1.020 0.890 1.740 0.810
1623627256.519 0.000 0.000 0.000 0.000 0.000
1623627256.691 0.000 0.000 0.000 0.000 0.000
1623627256.884 1.107 1.430 0.000 1.210 0.680
1623627257.087 0.000 0.000 0.000 0.000 0.000
1623627257.259 0.000 0.000 0.000 0.000 0.000
1623627257.761 1.160 0.000 0.000 0.000 1.160
1623627257.964 0.000 0.000 0.000 0.000 0.000
1623627258.137 0.000 0.000 0.000 0.000 0.000
1623627258.310 0.000 0.000 0.000 0.000 0.000
1623627258.483 0.000 0.000 0.000 0.000 0.000
1623627258.672 1.070 0.000 0.550 1.590 0.000
1623627258.875 0.000 0.000 0.000 0.000 0.000
1623627259.046 0.000 0.000 0.000 0.000 0.000
1623627259.218 0.000 0.000 0.000 0.000 0.000
1623627259.390 0.000 0.000 0.000 0.000 0.000
