# time, north, east, depth, roll, pitch, yaw, vnorth, veast, vup, altitude
1623718478.328 -998.662 2188.812 101.632 -2.948 2.021 81.683 0.439 0.079 -0.224 9.943
1623718478.528 -998.546 2188.834 101.690 -3.027 2.079 81.655 0.448 0.085 -0.223 9.946
1623718478.728 -998.429 2188.856 101.749 -3.058 2.120 81.833 0.444 0.080 -0.220 9.907
1623718478.928 -998.311 2188.877 101.806 -3.088 2.051 81.585 0.453 0.083 -0.219 9.876
1623718479.128 -998.311 2188.877 101.806 -3.088 2.051 81.585 0.453 0.083 -0.219 9.853
1623718479.328 -998.109 2188.914 101.904 -3.116 2.051 81.543 0.453 0.083 -0.219 9.845
1623718479.528 -998.046 2188.928 101.935 -3.148 2.080 80.380 0.446 0.094 -0.218 9.752
1623718479.728 -997.928 2188.952 101.992 -2.990 2.021 81.577 0.459 0.085 -0.215 9.628
1623718479.928 -997.928 2188.952 101.992 -2.990 2.021 81.577 0.459 0.085 -0.215 9.560
1623718480.128 -997.810 2188.973 102.048 -2.860 1.990 81.288 0.446 0.075 -0.218 9.497
1623718480.328 -997.693 2188.993 102.105 -2.838 1.950 81.175 0.452 0.085 -0.220 9.454
1623718480.528 -997.573 2189.016 102.163 -2.769 2.009 81.153 0.462 0.091 -0.222 9.414
1623718480.728 -997.538 2189.023 102.216 -2.763 2.007 81.150 0.462 0.091 -0.223 9.393
1623718480.928 -997.454 2189.040 102.256 -2.621 2.010 80.257 0.455 0.099 -0.219 9.369
1623718481.128 -997.334 2189.066 102.313 -2.598 1.980 80.034 0.464 0.100 -0.220 9.352
1623718481.328 -997.215 2189.092 102.370 -2.628 1.990 80.111 0.457 0.099 -0.217 9.249
1623718481.528 -997.215 2189.092 102.370 -2.628 1.990 80.111 0.457 0.099 -0.217 9.155
1623718481.728 -997.096 2189.117 102.426 -2.678 1.980 80.620 0.464 0.093 -0.218 9.130
1623718481.928 -996.957 2189.145 102.544 -2.735 2.039 80.780 0.464 0.093 -0.220 9.070
1623718482.128 -996.957 2189.145 102.544 -2.735 2.039 80.780 0.464 0.093 -0.220 9.048
1623718482.328 -996.957 2189.145 102.544 -2.735 2.039 80.780 0.464 0.093 -0.220 9.040
1623718482.528 -996.703 2189.199 102.662 -3.017 2.150 78.992 0.466 0.115 -0.214 8.945
1623718482.728 -996.584 2189.228 102.717 -2.939 2.051 80.250 0.464 0.109 -0.216 8.853
1623718482.928 -996.464 2189.259 102.772 -2.958 2.030 80.124 0.471 0.128 -0.215 8.814
1623718483.128 -996.367 2189.285 102.878 -2.953 2.014 80.128 0.471 0.128 -0.220 8.818
1623718483.328 -996.343 2189.292 102.889 -3.037 2.050 81.576 0.479 0.127 -0.216 8.740
1623718483.528 -996.221 2189.324 102.944 -3.058 2.030 82.026 0.471 0.118 -0.213 8.710
1623718483.728 -996.099 2189.354 102.998 -3.009 1.971 82.218 0.478 0.108 -0.209 8.665
1623718483.928 -996.099 2189.354 102.998 -3.009 1.971 82.218 0.478 0.108 -0.209 8.627
1623718484.128 -995.976 2189.383 103.052 -2.909 1.990 82.393 0.483 0.124 -0.214 8.572
1623718484.328 -995.976 2189.383 103.052 -2.909 1.990 82.393 0.483 0.124 -0.214 8.552
1623718484.528 -995.762 2189.439 103.218 -2.892 1.912 82.835 0.483 0.121 -0.247 8.544
1623718484.728 -995.594 2189.478 103.294 -2.818 2.010 82.625 0.484 0.112 -0.208 8.526
1623718484.928 -995.594 2189.478 103.294 -2.818 2.010 82.625 0.484 0.112 -0.208 8.510
1623718485.128 -995.459 2189.506 103.350 -2.333 2.089 82.468 0.514 0.100 -0.206 8.330
1623718485.328 -995.331 2189.532 103.401 -2.239 2.139 82.192 0.514 0.114 -0.204 8.232
1623718485.528 -995.331 2189.532 103.401 -2.239 2.139 82.192 0.514 0.114 -0.204 8.177
1623718485.728 -995.127 2189.578 103.555 -2.143 2.094 82.370 0.514 0.113 -0.230 8.157
1623718485.928 -995.040 2189.599 103.592 -2.427 2.220 80.467 0.506 0.125 -0.207 8.118
1623718486.128 -994.915 2189.629 103.643 -2.477 2.121 81.353 0.504 0.114 -0.205 8.088
1623718486.328 -994.790 2189.659 103.694 -2.616 2.169 81.301 0.502 0.125 -0.207 8.057
1623718486.528 -994.790 2189.659 103.694 -2.616 2.169 81.301 0.502 0.125 -0.207 8.040
1623718486.728 -994.665 2189.692 103.745 -2.796 2.190 81.486 0.506 0.140 -0.205 8.021
1623718486.928 -994.489 2189.741 103.851 -3.068 2.200 81.802 0.513 0.139 -0.202 7.957
1623718487.128 -994.413 2189.763 103.881 -3.196 2.141 81.784 0.497 0.147 -0.202 7.856
1623718487.328 -994.290 2189.798 103.931 -3.277 2.110 81.914 0.501 0.138 -0.200 7.779
1623718487.528 -994.290 2189.798 103.931 -3.277 2.110 81.914 0.501 0.138 -0.200 7.756
1623718487.728 -994.164 2189.836 103.980 -3.278 2.110 82.152 0.514 0.160 -0.199 7.705
1623718487.928 -994.037 2189.874 104.029 -3.288 2.051 82.273 0.512 0.150 -0.198 7.703
1623718488.128 -993.911 2189.911 104.078 -3.269 1.981 82.445 0.507 0.145 -0.197 7.650
1623718488.328 -993.849 2189.928 104.126 -3.288 1.971 82.493 0.508 0.144 -0.198 7.598
1623718488.528 -993.849 2189.928 104.126 -3.288 1.971 82.493 0.508 0.144 -0.198 7.579
1623718488.728 -993.623 2189.997 104.217 -3.139 2.010 81.846 0.505 0.162 -0.208 7.561
1623718488.928 -993.501 2190.036 104.268 -2.823 1.842 82.559 0.513 0.164 -0.214 7.469
1623718489.128 -993.379 2190.075 104.319 -2.680 1.879 82.493 0.506 0.163 -0.211 7.381
1623718489.328 -993.379 2190.075 104.319 -2.680 1.879 82.493 0.506 0.163 -0.211 7.347
1623718489.528 -993.207 2190.128 104.376 -2.599 1.832 82.554 0.511 0.155 -0.213 7.289
1623718489.728 -993.135 2190.151 104.407 -2.540 1.908 82.585 0.503 0.156 -0.220 7.230
1623718489.928 -993.014 2190.189 104.460 -2.489 1.959 82.446 0.511 0.163 -0.219 7.186
1623718490.128 -992.891 2190.226 104.512 -2.468 1.990 82.515 0.513 0.151 -0.218 7.162
1623718490.328 -992.771 2190.260 104.565 -2.419 2.030 82.424 0.490 0.132 -0.221 7.140
1623718490.528 -992.653 2190.292 104.617 -2.428 2.010 82.122 0.495 0.137 -0.214 7.123
1623718490.728 -992.573 2190.314 104.597 -2.407 2.023 82.127 0.495 0.137 -0.209 7.115
1623718490.928 -992.534 2190.325 104.614 -2.477 2.108 82.184 0.497 0.137 -0.216 6.887
1623718491.128 -992.534 2190.325 104.614 -2.477 2.108 82.184 0.497 0.137 -0.216 6.804
1623718491.328 -992.264 2190.400 104.735 -3.037 2.110 81.016 0.468 0.138 -0.214 6.784
1623718491.528 -992.264 2190.400 104.735 -3.037 2.110 81.016 0.468 0.138 -0.214 6.783
1623718491.728 -992.150 2190.434 104.786 -3.117 1.962 81.911 0.490 0.143 -0.221 6.795
1623718491.928 -992.034 2190.468 104.839 -3.247 2.009 82.562 0.483 0.131 -0.217 6.806
1623718492.128 -991.921 2190.499 104.809 -3.395 1.893 82.388 0.461 0.134 -0.213 6.788
1623718492.328 -991.812 2190.531 104.860 -3.468 1.860 82.569 0.459 0.132 -0.220 6.725
1623718492.528 -991.704 2190.562 104.912 -3.528 1.889 82.931 0.457 0.127 -0.219 6.620
1623718492.728 -991.704 2190.562 104.912 -3.528 1.889 82.931 0.457 0.127 -0.219 6.547
1623718492.928 -991.595 2190.590 104.963 -3.489 1.850 83.028 0.473 0.114 -0.219 6.502
1623718493.128 -991.485 2190.617 105.015 -3.380 1.840 83.172 0.458 0.110 -0.219 6.466
1623718493.328 -991.378 2190.642 104.987 -3.260 1.781 83.075 0.452 0.112 -0.223 6.402
1623718493.528 -991.273 2190.668 105.040 -3.180 1.829 83.406 0.442 0.108 -0.229 6.382
1623718493.728 -991.273 2190.668 105.040 -3.180 1.829 83.406 0.442 0.108 -0.229 6.376
1623718493.928 -991.273 2190.668 105.040 -3.180 1.829 83.406 0.442 0.108 -0.229 6.374
1623718494.128 -991.021 2190.727 105.165 -3.039 1.990 82.264 0.463 0.111 -0.219 6.261
1623718494.328 -990.915 2190.752 105.217 -2.851 1.832 82.527 0.442 0.108 -0.226 6.164
1623718494.528 -990.812 2190.777 105.209 -2.888 1.820 82.435 0.440 0.103 -0.224 6.081
