# time, altitude, r1, r2, r3, r4
1623717947.822 0.000 0.000 0.000 0.000 0.000
1623717947.991 0.000 0.000 0.000 0.000 0.000
1623717948.163 0.000 0.000 0.000 0.000 0.000
1623717948.341 0.000 0.000 0.000 0.000 0.000
1623717948.525 0.000 0.000 0.000 0.000 0.000
1623717948.723 0.000 0.000 0.000 0.000 0.000
1623717948.950 0.000 0.000 0.000 0.000 0.000
1623717949.187 0.000 0.000 0.000 0.000 0.000
1623717949.355 0.000 0.000 0.000 0.000 0.000
1623717949.528 0.000 0.000 0.000 0.000 0.000
1623717950.026 0.000 0.000 0.000 0.000 0.000
1623717950.210 0.000 0.000 0.000 0.000 0.000
1623717950.408 0.000 0.000 0.000 0.000 0.000
1623717950.635 0.000 0.000 0.000 0.000 0.000
1623717950.872 0.000 0.000 0.000 0.000 0.000
1623717951.040 0.000 0.000 0.000 0.000 0.000
1623717951.213 0.000 0.000 0.000 0.000 0.000
1623717951.390 0.000 0.000 0.000 0.000 0.000
1623717951.574 0.000 0.000 0.000 0.000 0.000
1623717951.772 0.000 0.000 0.000 0.000 0.000
1623717952.322 0.000 0.000 0.000 0.000 0.000
1623717952.559 0.000 0.000 0.000 0.000 0.000
1623717952.727 0.000 0.000 0.000 0.000 0.000
1623717952.900 0.000 0.000 0.000 0.000 0.000
1623717953.079 0.000 0.000 0.000 0.000 0.000
1623717953.264 0.000 0.000 0.000 0.000 0.000
1623717953.463 0.000 0.000 0.000 0.000 0.000
1623717953.690 0.000 0.000 0.000 0.000 0.000
1623717953.928 0.000 0.000 0.000 0.000 0.000
1623717954.097 0.000 0.000 0.000 0.000 0.000
1623717954.591 0.000 0.000 0.000 0.000 0.000
1623717954.768 0.000 0.000 0.000 0.000 0.000
1623717954.952 0.000 0.000 0.000 0.000 0.000
1623717955.150 0.000 0.000 0.000 0.000 0.000
1623717955.377 0.000 0.000 0.000 0.000 0.000
1623717955.614 0.000 0.000 0.000 0.000 0.000
1623717955.782 0.000 0.000 0.000 0.000 0.000
1623717956.468 0.000 0.000 0.000 0.000 0.000
1623717956.671 0.000 0.000 0.000 0.000 0.000
1623717956.856 0.000 0.000 0.000 0.000 0.000
1623717957.372 0.000 0.000 0.000 0.000 0.000
1623717957.599 0.000 0.000 0.000 0.000 0.000
1623717957.837 0.000 0.000 0.000 0.000 0.000
1623717958.005 0.000 0.000 0.000 0.000 0.000
1623717958.179 0.000 0.000 0.000 0.000 0.000
1623717958.356 0.000 0.000 0.000 0.000 0.000
1623717958.541 0.000 0.000 0.000 0.000 0.000
1623717958.739 0.000 0.000 0.000 0.000 0.000
1623717958.966 0.000 0.000 0.000 0.000 0.000
1623717959.203 0.000 0.000 0.000 0.000 0.000
1623717959.689 0.000 0.000 0.000 0.000 0.000
1623717959.862 0.000 0.000 0.000 0.000 0.000
1623717960.039 0.000 0.000 0.000 0.000 0.000
1623717960.223 0.000 0.000 0.000 0.000 0.000
1623717960.421 0.000 0.000 0.000 0.000 0.000
1623717960.648 0.000 0.000 0.000 0.000 0.000
1623717960.886 0.000 0.000 0.000 0.000 0.000
1623717961.053 0.000 0.000 0.000 0.000 0.000
1623717961.226 0.000 0.000 0.000 0.000 0.000
1623717961.403 0.000 0.000 0.000 0.000 0.000
1623717961.907 0.000 0.000 0.000 0.000 0.000
1623717962.106 0.000 0.000 0.000 0.000 0.000
1623717962.333 0.000 0.000 0.000 0.000 0.000
1623717962.571 0.000 0.000 0.000 0.000 0.000
1623717962.739 0.000 0.000 0.000 0.000 0.000
1623717962.912 0.000 0.000 0.000 0.000 0.000
1623717963.089 0.000 0.000 0.000 0.000 0.000
1623717963.274 0.000 0.000 0.000 0.000 0.000
1623717963.472 0.000 0.000 0.000 0.000 0.000
1623717963.700 0.000 0.000 0.000 0.000 0.000
1623717964.256 0.000 0.000 0.000 0.000 0.000
