# time, north, east, depth, roll, pitch, yaw, vnorth, veast, vup, altitude
1623795809.758 -1608.791 1484.213 2.011 -8.956 -3.208 91.669 -2.806 -2.806 -0.950 3.773
1623795816.558 -1617.207 1464.757 2.070 3.875 3.294 102.018 -2.721 -2.468 -0.573 1.330
1623795816.758 -1617.841 1464.182 2.203 4.016 2.956 102.590 -2.748 -2.439 -0.568 0.765
1623795838.958 -1606.101 1480.504 2.095 -4.312 0.212 87.712 -0.101 0.166 -0.051 2.895
1623795840.158 -1605.868 1480.849 2.269 2.207 5.078 91.824 -0.083 0.178 -0.040 4.330
1623795854.358 -1607.585 1482.757 5.319 -6.259 3.486 59.072 -0.071 0.013 -0.220 1.760
1623796186.358 -1589.437 1472.035 74.944 -1.098 1.370 15.268 0.185 0.012 -0.296 9.999
1623796186.758 -1589.279 1472.041 75.193 -1.829 1.331 13.372 0.184 -0.006 -0.290 9.897
1623796186.958 -1589.279 1472.041 75.193 -1.829 1.331 13.372 0.184 -0.006 -0.290 9.791
1623796187.158 -1589.233 1472.039 75.268 -2.048 1.280 12.840 0.174 -0.006 -0.288 9.797
1623796187.358 -1589.188 1472.036 75.251 -2.198 1.211 12.741 0.170 -0.015 -0.287 9.755
1623796187.558 -1589.146 1472.031 75.327 -2.299 1.160 12.727 0.150 -0.027 -0.289 9.703
1623796187.758 -1589.146 1472.031 75.327 -2.299 1.160 12.727 0.150 -0.027 -0.289 9.679
1623796187.958 -1589.108 1472.024 75.402 -2.281 1.110 12.621 0.141 -0.023 -0.289 9.541
1623796188.158 -1589.073 1472.018 75.477 -2.201 1.060 12.667 0.131 -0.030 -0.287 9.458
1623796188.358 -1589.040 1472.008 75.551 -1.993 1.030 12.912 0.126 -0.042 -0.284 9.453
1623796188.558 -1589.024 1472.003 75.508 -2.009 1.025 12.820 0.126 -0.042 -0.280 9.467
1623796188.758 -1589.009 1471.997 75.547 -1.716 1.010 13.021 0.111 -0.046 -0.286 9.377
1623796188.958 -1588.980 1471.984 75.620 -1.403 1.010 13.090 0.107 -0.055 -0.283 9.256
1623796189.158 -1588.980 1471.984 75.620 -1.403 1.010 13.090 0.107 -0.055 -0.283 9.211
1623796189.358 -1588.980 1471.984 75.620 -1.403 1.010 13.090 0.107 -0.055 -0.283 9.195
1623796189.558 -1588.922 1471.946 75.783 -0.970 1.219 11.617 0.095 -0.073 -0.281 9.125
1623796189.758 -1588.896 1471.924 75.817 -0.620 1.179 12.471 0.081 -0.074 -0.279 9.039
1623796189.958 -1588.879 1471.906 75.878 -0.451 1.269 12.150 0.075 -0.089 -0.274 8.995
1623796190.158 -1588.879 1471.906 75.878 -0.451 1.269 12.150 0.075 -0.089 -0.274 8.993
1623796190.358 -1588.860 1471.883 75.948 -0.320 1.379 11.788 0.072 -0.091 -0.274 8.909
1623796190.558 -1588.843 1471.859 76.018 -0.220 1.439 11.408 0.059 -0.096 -0.270 8.793
1623796190.758 -1588.828 1471.833 76.086 -0.248 1.490 10.892 0.061 -0.101 -0.268 8.745
1623796190.958 -1588.814 1471.806 76.154 -0.368 1.540 10.071 0.051 -0.110 -0.265 8.690
1623796191.158 -1588.812 1471.804 76.142 -0.361 1.542 10.045 0.051 -0.110 -0.265 8.649
1623796191.358 -1588.801 1471.778 76.203 -0.576 1.599 9.108 0.052 -0.114 -0.264 8.593
1623796191.558 -1588.790 1471.749 76.270 -0.836 1.600 8.132 0.036 -0.110 -0.262 8.519
1623796191.758 -1588.782 1471.721 76.334 -1.166 1.580 7.141 0.030 -0.117 -0.258 8.373
1623796191.958 -1588.782 1471.721 76.334 -1.166 1.580 7.141 0.030 -0.117 -0.258 8.267
1623796192.158 -1588.782 1471.721 76.334 -1.166 1.580 7.141 0.030 -0.117 -0.258 8.228
1623796192.358 -1588.770 1471.655 76.496 -1.888 1.620 4.191 0.019 -0.112 -0.258 8.216
1623796192.558 -1588.768 1471.627 76.560 -1.821 1.472 4.470 -0.001 -0.116 -0.255 8.151
1623796192.758 -1588.768 1471.627 76.560 -1.821 1.472 4.470 -0.001 -0.116 -0.255 8.089
1623796192.958 -1588.769 1471.599 76.623 -1.780 1.440 4.191 -0.012 -0.116 -0.259 8.102
1623796193.158 -1588.772 1471.570 76.687 -1.602 1.361 3.853 -0.010 -0.113 -0.255 8.079
1623796193.358 -1588.776 1471.543 76.750 -1.382 1.320 3.106 -0.019 -0.109 -0.255 8.060
1623796193.558 -1588.781 1471.517 76.852 -1.123 1.260 2.276 -0.020 -0.105 -0.254 8.040
1623796193.758 -1588.781 1471.517 76.852 -1.123 1.260 2.276 -0.020 -0.105 -0.254 8.027
1623796193.958 -1588.785 1471.491 76.916 -0.902 1.230 1.286 -0.017 -0.103 -0.262 7.915
1623796194.158 -1588.789 1471.466 76.981 -0.741 1.170 0.175 -0.010 -0.102 -0.264 7.814
1623796194.358 -1588.791 1471.441 77.046 -0.601 1.199 358.972 -0.009 -0.097 -0.264 7.732
1623796194.558 -1588.793 1471.418 77.112 -0.569 1.180 357.892 -0.008 -0.095 -0.269 7.683
1623796194.758 -1588.793 1471.418 77.112 -0.569 1.180 357.892 -0.008 -0.095 -0.269 7.653
1623796194.958 -1588.796 1471.392 77.229 -0.498 1.140 357.068 -0.007 -0.095 -0.279 7.641
1623796195.158 -1588.796 1471.392 77.229 -0.498 1.140 357.068 -0.007 -0.095 -0.279 7.637
1623796195.358 -1588.796 1471.392 77.229 -0.498 1.140 357.068 -0.007 -0.095 -0.279 7.636
1623796195.558 -1588.796 1471.392 77.229 -0.498 1.140 357.068 -0.007 -0.095 -0.279 7.635
1623796195.758 -1588.787 1471.326 77.456 -1.269 1.380 352.113 0.028 -0.068 -0.272 7.517
