# time, altitude, r1, r2, r3, r4
1623795779.488 0.000 0.000 0.000 0.000 0.000
1623795779.658 0.000 0.000 0.000 0.000 0.000
1623795779.831 0.000 0.000 0.000 0.000 0.000
1623795780.033 0.000 0.000 0.000 0.000 0.000
1623795780.205 0.000 0.000 0.000 0.000 0.000
1623795780.376 0.000 0.000 0.000 0.000 0.000
1623795780.548 0.000 0.000 0.000 0.000 0.000
1623795780.719 0.000 0.000 0.000 0.000 0.000
1623795780.894 0.000 0.000 0.000 0.000 0.000
1623795781.076 0.000 0.000 0.000 0.000 0.000
1623795781.590 0.000 0.000 0.000 0.000 0.000
1623795781.813 0.000 0.000 0.000 0.000 0.000
1623795782.049 0.000 0.000 0.000 0.000 0.000
1623795782.216 0.000 0.000 0.000 0.000 0.000
1623795782.388 0.000 0.000 0.000 0.000 0.000
1623795782.565 0.000 0.000 0.000 0.000 0.000
1623795782.748 0.000 0.000 0.000 0.000 0.000
1623795782.945 0.000 0.000 0.000 0.000 0.000
1623795783.173 0.000 0.000 0.000 0.000 0.000
1623795783.409 0.000 0.000 0.000 0.000 0.000
1623795783.894 0.000 0.000 0.000 0.000 0.000
1623795784.066 0.000 0.000 0.000 0.000 0.000
1623795784.242 0.000 0.000 0.000 0.000 0.000
1623795784.420 0.000 0.000 0.000 0.000 0.000
1623795784.597 0.000 0.000 0.000 0.000 0.000
1623795784.777 0.000 0.000 0.000 0.000 0.000
1623795784.954 0.000 0.000 0.000 0.000 0.000
1623795785.132 0.000 0.000 0.000 0.000 0.000
1623795785.320 0.000 0.000 0.000 0.000 0.000
1623795785.528 0.000 0.000 0.000 0.000 0.000
1623795786.082 0.000 0.000 0.000 0.000 0.000
1623795786.249 0.000 0.000 0.000 0.000 0.000
1623795786.421 0.000 0.000 0.000 0.000 0.000
1623795786.652 0.723 0.000 0.640 0.640 0.890
1623795786.853 0.000 0.000 0.000 0.000 0.000
1623795787.023 0.000 0.000 0.000 0.000 0.000
1623795787.192 0.000 0.000 0.000 0.000 0.000
1623795787.362 0.000 0.000 0.000 0.000 0.000
1623795787.532 0.000 0.000 0.000 0.000 0.000
1623795787.706 0.000 0.000 0.000 0.000 0.000
1623795788.204 0.000 0.000 0.000 0.000 0.000
1623795788.394 0.000 0.000 0.000 0.000 0.000
1623795788.604 0.000 0.000 0.000 0.000 0.000
1623795788.841 0.000 0.000 0.000 0.000 0.000
1623795789.008 0.000 0.000 0.000 0.000 0.000
1623795789.180 0.000 0.000 0.000 0.000 0.000
1623795789.356 0.000 0.000 0.000 0.000 0.000
1623795789.540 0.000 0.000 0.000 0.000 0.000
1623795789.737 0.000 0.000 0.000 0.000 0.000
1623795789.966 0.000 0.000 0.000 0.000 0.000
1623795790.523 0.000 0.000 0.000 0.000 0.000
1623795790.690 0.000 0.000 0.000 0.000 0.000
1623795790.862 0.000 0.000 0.000 0.000 0.000
1623795791.092 0.707 0.000 0.680 0.510 0.930
1623795791.292 0.000 0.000 0.000 0.000 0.000
1623795791.462 0.000 0.000 0.000 0.000 0.000
1623795791.631 0.000 0.000 0.000 0.000 0.000
1623795791.800 0.000 0.000 0.000 0.000 0.000
1623795791.970 0.000 0.000 0.000 0.000 0.000
1623795792.658 0.000 0.000 0.000 0.000 0.000
1623795793.234 0.917 0.000 0.760 1.140 0.850
1623795793.438 0.000 0.000 0.000 0.000 0.000
1623795793.609 0.000 0.000 0.000 0.000 0.000
1623795793.781 0.000 0.000 0.000 0.000 0.000
1623795793.952 0.000 0.000 0.000 0.000 0.000
1623795794.124 0.000 0.000 0.000 0.000 0.000
1623795794.299 0.000 0.000 0.000 0.000 0.000
1623795794.481 0.000 0.000 0.000 0.000 0.000
1623795794.679 0.000 0.000 0.000 0.000 0.000
1623795794.905 0.000 0.000 0.000 0.000 0.000
1623795795.459 0.000 0.000 0.000 0.000 0.000
1623795795.626 0.000 0.000 0.000 0.000 0.000
1623795795.798 0.000 0.000 0.000 0.000 0.000
1623795796.002 0.000 0.000 0.000 0.000 0.000
1623795796.173 0.000 0.000 0.000 0.000 0.000
1623795796.345 0.000 0.000 0.000 0.000 0.000
1623795796.517 0.000 0.000 0.000 0.000 0.000
1623795796.689 0.000 0.000 0.000 0.000 0.000
1623795796.864 0.000 0.000 0.000 0.000 0.000
1623795797.039 0.000 0.000 0.000 0.000 0.000
1623795797.529 0.000 0.000 0.000 0.000 0.000
1623795797.703 0.000 0.000 0.000 0.000 0.000
1623795797.878 0.000 0.000 0.000 0.000 0.000
1623795798.053 0.000 0.000 0.000 0.000 0.000
1623795798.236 0.000 0.000 0.000 0.000 0.000
1623795798.431 0.000 0.000 0.000 0.000 0.000
1623795798.653 0.000 0.000 0.000 0.000 0.000
1623795798.890 0.000 0.000 0.000 0.000 0.000
1623795799.059 0.000 0.000 0.000 0.000 0.000
1623795799.232 0.000 0.000 0.000 0.000 0.000
1623795799.751 0.000 0.000 0.000 0.000 0.000
1623795799.923 0.000 0.000 0.000 0.000 0.000
1623795800.096 0.000 0.000 0.000 0.000 0.000
1623795800.268 0.000 0.000 0.000 0.000 0.000
1623795800.440 0.000 0.000 0.000 0.000 0.000
1623795800.615 0.000 0.000 0.000 0.000 0.000
1623795800.802 0.000 0.000 0.000 0.000 0.000
1623795801.004 0.000 0.000 0.000 0.000 0.000
1623795801.174 0.000 0.000 0.000 0.000 0.000
1623795801.343 0.000 0.000 0.000 0.000 0.000
1623795801.832 0.000 0.000 0.000 0.000 0.000
1623795802.003 0.000 0.000 0.000 0.000 0.000
1623795802.178 0.000 0.000 0.000 0.000 0.000
1623795802.358 0.000 0.000 0.000 0.000 0.000
1623795802.549 0.000 0.000 0.000 0.000 0.000
1623795802.761 0.000 0.000 0.000 0.000 0.000
1623795802.997 0.000 0.000 0.000 0.000 0.000
1623795803.164 0.000 0.000 0.000 0.000 0.000
1623795803.336 0.000 0.000 0.000 0.000 0.000
1623795803.538 0.000 0.000 0.000 0.000 0.000
1623795804.026 0.000 0.000 0.000 0.000 0.000
1623795804.196 0.000 0.000 0.000 0.000 0.000
1623795804.365 0.000 0.000 0.000 0.000 0.000
1623795804.535 0.000 0.000 0.000 0.000 0.000
1623795804.710 0.000 0.000 0.000 0.000 0.000
1623795804.891 0.000 0.000 0.000 0.000 0.000
1623795805.081 0.000 0.000 0.000 0.000 0.000
1623795805.293 0.000 0.000 0.000 0.000 0.000
1623795805.531 0.000 0.000 0.000 0.000 0.000
1623795805.700 0.000 0.000 0.000 0.000 0.000
1623795806.194 0.000 0.000 0.000 0.000 0.000
1623795806.397 0.000 0.000 0.000 0.000 0.000
1623795806.569 0.000 0.000 0.000 0.000 0.000
1623795806.741 0.000 0.000 0.000 0.000 0.000
1623795806.913 0.000 0.000 0.000 0.000 0.000
1623795807.085 0.000 0.000 0.000 0.000 0.000
1623795807.260 0.000 0.000 0.000 0.000 0.000
1623795807.436 0.000 0.000 0.000 0.000 0.000
1623795807.611 0.000 0.000 0.000 0.000 0.000
1623795807.787 0.000 0.000 0.000 0.000 0.000
1623795808.283 0.000 0.000 0.000 0.000 0.000
1623795808.484 2.653 2.550 1.950 0.000 3.460
1623795808.663 0.000 0.000 0.000 0.000 0.000
1623795809.416 2.830 2.780 2.780 3.620 2.140
1623795809.634 3.773 0.000 3.510 3.510 4.300
1623795809.816 0.000 0.000 0.000 0.000 0.000
1623795809.999 0.000 0.000 0.000 0.000 0.000
1623795810.182 0.000 0.000 0.000 0.000 0.000
1623795810.368 0.000 0.000 0.000 0.000 0.000
1623795810.550 0.000 0.000 0.000 0.000 0.000
1623795811.061 0.000 0.000 0.000 0.000 0.000
1623795811.285 0.000 0.000 0.000 0.000 0.000
1623795811.523 0.000 0.000 0.000 0.000 0.000
1623795811.691 0.000 0.000 0.000 0.000 0.000
1623795811.864 0.000 0.000 0.000 0.000 0.000
1623795812.042 0.000 0.000 0.000 0.000 0.000
1623795812.226 0.000 0.000 0.000 0.000 0.000
1623795812.424 0.000 0.000 0.000 0.000 0.000
1623795812.651 0.000 0.000 0.000 0.000 0.000
1623795812.887 0.000 0.000 0.000 0.000 0.000
1623795813.370 0.000 0.000 0.000 0.000 0.000
1623795813.542 0.000 0.000 0.000 0.000 0.000
1623795813.719 0.000 0.000 0.000 0.000 0.000
1623795813.903 0.000 0.000 0.000 0.000 0.000
1623795814.083 0.000 0.000 0.000 0.000 0.000
1623795814.263 0.000 0.000 0.000 0.000 0.000
1623795814.444 0.000 0.000 0.000 0.000 0.000
1623795814.624 0.000 0.000 0.000 0.000 0.000
1623795814.804 0.000 0.000 0.000 0.000 0.000
1623795814.996 0.000 0.000 0.000 0.000 0.000
