# time, north, east, depth, roll, pitch, yaw, vnorth, veast, vup, altitude
1623804531.404 -1199.963 943.051 2.182 -1.064 -0.676 304.599 0.006 0.079 -0.262 1.678
1623804531.604 -1199.962 943.067 2.234 -2.357 0.567 303.988 0.003 0.087 -0.260 1.463
1623804532.004 -1199.962 943.112 2.366 -3.907 2.996 300.871 -0.007 0.098 -0.256 1.555
1623804532.204 -1199.962 943.112 2.366 -3.907 2.996 300.871 -0.007 0.098 -0.256 1.555
1623804532.804 -1199.973 943.188 2.564 -2.263 4.517 296.247 -0.024 0.094 -0.256 1.687
1623804533.205 -1199.982 943.222 2.661 -1.361 3.669 295.946 -0.023 0.088 -0.258 1.977
1623804533.404 -1199.987 943.240 2.623 -0.950 3.043 294.905 -0.023 0.085 -0.255 1.757
1623804533.604 -1199.992 943.257 2.674 -0.731 2.431 294.029 -0.023 0.083 -0.256 1.813
1623804533.804 -1199.996 943.272 2.719 -0.561 1.901 292.594 -0.023 0.081 -0.256 1.100
1623804534.204 -1200.005 943.302 2.816 -0.411 1.442 289.215 -0.026 0.078 -0.257 3.023
1623804534.404 -1200.005 943.302 2.816 -0.411 1.442 289.215 -0.026 0.078 -0.257 3.023
1623804935.404 -1193.184 935.645 88.411 -1.582 1.439 49.241 0.059 -0.124 -0.272 9.970
1623804935.604 -1193.184 935.645 88.411 -1.582 1.439 49.241 0.059 -0.124 -0.272 9.953
1623804935.804 -1193.149 935.574 88.570 -0.991 1.699 46.121 0.066 -0.108 -0.268 9.847
1623804936.004 -1193.131 935.545 88.639 -0.603 1.651 46.533 0.065 -0.113 -0.264 9.751
1623804936.204 -1193.126 935.536 88.680 -0.577 1.655 46.344 0.065 -0.113 -0.264 9.681
1623804936.404 -1193.113 935.517 88.728 -0.392 1.729 45.565 0.073 -0.103 -0.261 9.655
1623804936.604 -1193.094 935.490 88.796 -0.300 1.770 44.615 0.073 -0.102 -0.256 9.582
1623804936.804 -1193.075 935.463 88.862 -0.289 1.780 43.342 0.077 -0.100 -0.251 9.565
1623804937.004 -1193.055 935.439 88.927 -0.437 1.761 42.283 0.077 -0.086 -0.251 9.497
1623804937.204 -1193.055 935.439 88.927 -0.437 1.761 42.283 0.077 -0.086 -0.251 9.431
1623804937.404 -1193.033 935.414 89.056 -0.611 1.722 40.854 0.074 -0.076 -0.249 9.448
1623804937.604 -1193.017 935.399 89.110 -0.876 1.641 39.991 0.076 -0.068 -0.242 9.397
1623804937.804 -1192.997 935.383 89.173 -1.107 1.551 39.241 0.078 -0.055 -0.243 9.328
1623804938.004 -1192.997 935.383 89.173 -1.107 1.551 39.241 0.078 -0.055 -0.243 9.293
1623804938.204 -1192.977 935.370 89.235 -1.327 1.431 38.453 0.077 -0.041 -0.241 9.259
1623804938.404 -1192.977 935.370 89.235 -1.327 1.431 38.453 0.077 -0.041 -0.241 9.247
1623804938.604 -1192.937 935.349 89.445 -1.393 1.277 36.683 0.077 -0.038 -0.285 9.243
1623804938.804 -1192.934 935.352 89.460 -1.789 1.290 35.347 0.071 -0.018 -0.236 9.110
1623804939.004 -1192.916 935.349 89.521 -1.751 1.102 35.045 0.072 -0.012 -0.239 9.028
1623804939.204 -1192.898 935.346 89.582 -1.829 1.060 34.373 0.066 -0.004 -0.239 8.947
1623804939.404 -1192.882 935.348 89.644 -1.949 1.010 33.384 0.062 0.013 -0.241 8.834
1623804939.604 -1192.882 935.348 89.644 -1.949 1.010 33.384 0.062 0.013 -0.241 8.760
1623804939.804 -1192.865 935.351 89.706 -2.010 0.990 32.527 0.071 0.017 -0.241 8.673
1623804940.004 -1192.848 935.357 89.850 -2.148 1.008 31.972 0.060 0.025 -0.239 8.585
1623804940.204 -1192.834 935.364 89.912 -2.229 1.049 31.106 0.050 0.031 -0.240 8.477
1623804940.404 -1192.834 935.364 89.912 -2.229 1.049 31.106 0.050 0.031 -0.240 8.413
1623804940.604 -1192.822 935.372 89.972 -2.280 1.109 30.441 0.049 0.038 -0.241 8.259
1623804940.804 -1192.811 935.384 90.032 -2.280 1.159 29.374 0.038 0.053 -0.243 8.320
1623804941.004 -1192.801 935.397 90.092 -2.250 1.219 29.510 0.041 0.054 -0.242 8.264
1623804941.204 -1192.794 935.407 90.200 -2.288 1.195 29.002 0.041 0.054 -0.250 8.197
1623804941.404 -1192.794 935.407 90.200 -2.288 1.195 29.002 0.041 0.054 -0.250 8.172
1623804941.604 -1192.779 935.426 90.296 -2.180 1.459 27.331 0.036 0.049 -0.242 8.122
1623804941.804 -1192.771 935.439 90.356 -1.933 1.401 27.922 0.023 0.060 -0.247 8.056
1623804942.004 -1192.765 935.453 90.417 -1.831 1.420 27.765 0.027 0.053 -0.247 7.983
1623804942.204 -1192.765 935.453 90.417 -1.831 1.420 27.765 0.027 0.053 -0.247 7.943
1623804942.404 -1192.757 935.474 90.545 -1.693 1.422 27.016 0.019 0.054 -0.248 7.903
1623804942.604 -1192.754 935.481 90.573 -1.660 1.420 26.885 0.026 0.064 -0.252 7.773
1623804942.804 -1192.754 935.481 90.573 -1.660 1.420 26.885 0.026 0.064 -0.252 7.725
1623804943.004 -1192.754 935.481 90.573 -1.660 1.420 26.885 0.026 0.064 -0.252 7.708
1623804943.204 -1192.754 935.481 90.573 -1.660 1.420 26.885 0.026 0.064 -0.252 7.701
1623804943.404 -1192.731 935.526 90.765 -1.590 1.420 26.227 0.034 0.055 -0.254 7.762
1623804943.604 -1192.720 935.538 90.835 -1.461 1.311 24.622 0.043 0.035 -0.266 7.679
1623804943.804 -1192.709 935.546 90.896 -1.430 1.271 24.197 0.047 0.031 -0.262 7.607
1623804944.004 -1192.697 935.552 90.959 -1.419 1.280 23.968 0.052 0.019 -0.265 7.473
1623804944.204 -1192.697 935.552 90.959 -1.419 1.280 23.968 0.052 0.019 -0.265 7.375
1623804944.404 -1192.684 935.556 91.022 -1.419 1.280 23.398 0.058 0.013 -0.264 7.384
1623804944.604 -1192.684 935.556 91.022 -1.419 1.280 23.398 0.058 0.013 -0.264 7.388
1623804944.804 -1192.648 935.560 91.173 -1.679 1.400 20.978 0.074 0.003 -0.276 7.324
1623804945.004 -1192.640 935.560 91.162 -1.674 1.401 20.727 0.074 0.004 -0.275 7.262
1623804945.204 -1192.630 935.559 91.198 -1.630 1.380 21.246 0.073 -0.011 -0.273 7.208
1623804945.404 -1192.613 935.556 91.263 -1.679 1.449 20.822 0.071 -0.016 -0.276 7.165
1623804945.604 -1192.595 935.551 91.330 -1.660 1.499 20.329 0.078 -0.023 -0.280 7.096
1623804945.804 -1192.577 935.546 91.395 -1.600 1.589 19.958 0.073 -0.016 -0.274 7.018
1623804946.004 -1192.560 935.540 91.460 -1.540 1.649 19.581 0.073 -0.038 -0.275 6.975
1623804946.204 -1192.547 935.533 91.466 -1.524 1.677 19.282 0.073 -0.037 -0.270 6.970
1623804946.404 -1192.542 935.531 91.482 -1.480 1.700 19.251 0.077 -0.038 -0.275 6.856
1623804946.604 -1192.523 935.521 91.547 -1.370 1.760 18.647 0.080 -0.042 -0.274 6.827
1623804946.804 -1192.504 935.509 91.612 -1.310 1.780 18.289 0.083 -0.053 -0.272 6.782
1623804947.004 -1192.485 935.496 91.677 -1.230 1.790 17.548 0.077 -0.055 -0.274 6.750
1623804947.204 -1192.485 935.496 91.677 -1.230 1.790 17.548 0.077 -0.055 -0.274 6.729
1623804947.404 -1192.485 935.496 91.677 -1.230 1.790 17.548 0.077 -0.055 -0.274 6.722
1623804947.604 -1192.442 935.464 91.811 -1.309 1.830 15.327 0.082 -0.060 -0.276 6.656
1623804947.804 -1192.422 935.449 91.876 -1.181 1.692 15.857 0.084 -0.062 -0.278 6.606
1623804948.004 -1192.402 935.434 91.942 -1.159 1.631 15.285 0.085 -0.066 -0.279 6.554
1623804948.204 -1192.384 935.420 92.007 -1.179 1.591 14.649 0.073 -0.061 -0.283 6.511
1623804948.404 -1192.384 935.420 92.007 -1.179 1.591 14.649 0.073 -0.061 -0.283 6.488
1623804948.604 -1192.367 935.404 92.073 -1.199 1.521 14.097 0.071 -0.069 -0.282 6.420
1623804948.804 -1192.350 935.385 92.135 -1.226 1.509 13.669 0.062 -0.076 -0.278 6.440
1623804949.004 -1192.336 935.371 92.192 -1.219 1.461 12.952 0.070 -0.066 -0.288 6.360
1623804949.204 -1192.322 935.355 92.259 -1.190 1.420 12.621 0.055 -0.064 -0.289 6.315
1623804949.404 -1192.308 935.341 92.327 -1.170 1.400 12.360 0.059 -0.059 -0.290 6.253
1623804949.604 -1192.295 935.327 92.394 -1.012 1.370 11.957 0.052 -0.060 -0.288 6.207
1623804949.804 -1192.295 935.327 92.394 -1.012 1.370 11.957 0.052 -0.060 -0.288 6.188
1623804950.004 -1192.277 935.305 92.482 -0.956 1.360 11.271 0.053 -0.059 -0.282 6.181
1623804950.204 -1192.268 935.295 92.539 -0.691 1.489 10.467 0.046 -0.056 -0.298 6.103
1623804950.404 -1192.257 935.282 92.608 -0.354 1.411 11.282 0.050 -0.058 -0.297 6.022
1623804950.604 -1192.257 935.282 92.608 -0.354 1.411 11.282 0.050 -0.058 -0.297 5.987
1623804950.804 -1192.247 935.268 92.677 -0.181 1.430 10.874 0.033 -0.058 -0.297 5.931
1623804951.004 -1192.239 935.256 92.747 -0.060 1.460 10.484 0.033 -0.046 -0.300 5.913
1623804951.204 -1192.232 935.245 92.816 -0.009 1.450 9.795 0.028 -0.050 -0.298 5.837
1623804951.404 -1192.225 935.235 92.871 -0.067 1.528 9.159 0.035 -0.036 -0.296 5.802
1623804951.604 -1192.218 935.227 92.940 -0.138 1.550 8.723 0.029 -0.036 -0.300 5.824
1623804951.804 -1192.210 935.218 93.009 -0.189 1.550 8.456 0.037 -0.035 -0.299 5.770
1623804952.004 -1192.202 935.212 93.078 -0.249 1.599 8.149 0.038 -0.020 -0.300 5.676
1623804952.204 -1192.202 935.212 93.078 -0.249 1.599 8.149 0.038 -0.020 -0.300 5.628
1623804952.404 -1192.195 935.208 93.147 -0.220 1.640 7.955 0.023 -0.013 -0.300 5.588
1623804952.604 -1192.189 935.205 93.201 -0.184 1.670 7.538 0.023 -0.012 -0.295 5.574
1623804952.804 -1192.178 935.202 93.289 -0.429 1.790 5.430 0.038 -0.008 -0.293 5.559
1623804953.004 -1192.178 935.202 93.289 -0.429 1.790 5.430 0.038 -0.008 -0.293 5.549
1623804953.204 -1192.171 935.201 93.355 -0.469 1.702 5.739 0.029 -0.004 -0.291 5.605
1623804953.404 -1192.165 935.201 93.422 -0.647 1.750 5.185 0.025 0.007 -0.291 5.630
1623804953.604 -1192.157 935.201 93.488 -0.887 1.740 4.383 0.039 -0.005 -0.284 5.644
1623804953.804 -1192.147 935.204 93.532 -1.158 1.752 3.595 0.036 0.021 -0.283 5.618
1623804954.004 -1192.141 935.209 93.583 -1.376 1.770 3.187 0.034 0.029 -0.282 5.595
1623804954.204 -1192.134 935.214 93.647 -1.558 1.740 2.492 0.027 0.016 -0.273 5.570
1623804954.404 -1192.127 935.217 93.711 -1.728 1.750 2.040 0.030 0.015 -0.282 5.525
1623804954.604 -1192.127 935.217 93.711 -1.728 1.750 2.040 0.030 0.015 -0.282 5.490
1623804954.804 -1192.121 935.221 93.775 -1.859 1.730 1.773 0.028 0.019 -0.282 5.444
1623804955.004 -1192.118 935.226 93.839 -1.900 1.691 1.310 -0.000 0.025 -0.277 5.399
1623804955.204 -1192.118 935.230 93.845 -1.967 1.697 0.949 -0.000 0.025 -0.272 5.382
1623804955.404 -1192.114 935.242 93.948 -2.039 1.740 359.731 0.014 0.033 -0.267 5.303
1623804955.604 -1192.114 935.242 93.948 -2.039 1.740 359.731 0.014 0.033 -0.267 5.230
1623804955.804 -1192.111 935.250 94.010 -1.853 1.602 0.074 0.012 0.040 -0.275 5.205
1623804956.004 -1192.109 935.259 94.072 -1.761 1.610 359.743 0.002 0.034 -0.270 5.101
1623804956.204 -1192.110 935.268 94.133 -1.652 1.570 359.615 -0.009 0.045 -0.266 5.089
1623804956.404 -1192.109 935.279 94.179 -1.512 1.560 359.302 0.012 0.055 -0.268 5.038
1623804956.604 -1192.108 935.293 94.240 -1.332 1.570 358.953 -0.005 0.064 -0.265 2.255
1623804956.804 -1192.107 935.305 94.300 -1.172 1.550 358.699 0.013 0.044 -0.267 2.250
1623804957.004 -1192.105 935.315 94.358 -1.031 1.599 357.927 -0.000 0.049 -0.255 2.248
1623804957.204 -1192.105 935.315 94.358 -1.031 1.599 357.927 -0.000 0.049 -0.255 2.248
1623804957.404 -1192.106 935.328 94.414 -0.901 1.620 357.384 -0.010 0.062 -0.243 2.247
1623804957.604 -1192.107 935.347 94.517 -0.790 1.629 356.511 -0.000 0.055 -0.235 2.247
1623804957.804 -1192.107 935.347 94.517 -0.790 1.629 356.511 -0.000 0.055 -0.235 2.041
1623804958.104 -1192.104 935.371 94.612 -1.028 1.809 354.557 0.010 0.056 -0.202 1.948
1623804958.304 -1192.100 935.385 94.655 -0.970 1.751 354.614 0.026 0.070 -0.188 1.931
1623804958.504 -1192.099 935.400 94.696 -1.028 1.908 354.175 -0.014 0.066 -0.175 1.925
1623804958.704 -1192.099 935.414 94.733 -1.068 2.078 353.917 0.008 0.056 -0.164 1.923
1623804958.904 -1192.099 935.432 94.824 -1.196 2.247 353.672 -0.010 0.114 -0.136 1.922
1623804959.104 -1192.104 935.459 94.852 -1.278 2.339 353.580 -0.034 0.124 -0.118 1.922
1623804959.304 -1192.104 935.459 94.852 -1.278 2.339 353.580 -0.034 0.124 -0.118 1.922
1623804959.504 -1192.109 935.483 94.875 -1.338 2.183 353.607 -0.004 0.095 -0.089 1.795
1623804959.704 -1192.110 935.509 94.893 -1.487 2.151 353.610 -0.010 0.147 -0.075 1.672
1623804959.904 -1192.113 935.543 94.909 -1.598 2.160 353.235 -0.014 0.160 -0.069 1.627
1623804960.104 -1192.121 935.596 95.014 -1.675 2.040 352.820 -0.034 0.172 -0.057 1.610
1623804960.304 -1192.121 935.596 95.014 -1.675 2.040 352.820 -0.034 0.172 -0.057 1.604
1623804960.504 -1192.121 935.596 95.014 -1.675 2.040 352.820 -0.034 0.172 -0.057 1.602
1623804960.704 -1192.121 935.679 95.027 -2.048 1.821 350.676 0.015 0.195 -0.012 1.601
1623804960.904 -1192.118 935.727 95.029 -2.020 1.613 350.463 0.012 0.243 -0.004 1.601
1623804961.104 -1192.113 935.779 95.029 -2.109 1.491 349.385 0.028 0.233 0.003 1.601
1623804961.304 -1192.107 935.831 95.026 -2.199 1.253 348.077 0.021 0.249 0.019 1.552
1623804961.504 -1192.101 935.887 95.100 -2.298 1.229 346.320 0.035 0.257 0.030 1.505
1623804961.704 -1192.090 935.944 95.093 -2.369 1.190 343.938 0.055 0.267 0.038 1.488
1623804961.904 -1192.078 936.003 95.084 -2.351 1.160 341.826 0.039 0.275 0.041 1.482
1623804962.104 -1192.070 936.062 95.074 -2.360 1.159 339.182 0.023 0.266 0.047 1.479
1623804962.304 -1192.064 936.124 95.062 -2.331 1.169 336.480 0.020 0.295 0.066 1.478
1623804962.504 -1192.060 936.187 95.047 -2.261 1.159 334.088 0.004 0.277 0.073 1.478
1623804962.704 -1192.060 936.217 95.091 -2.280 1.128 333.335 0.000 0.277 0.070 1.478
1623804962.904 -1192.060 936.217 95.091 -2.280 1.128 333.335 0.000 0.277 0.070 1.478
1623804963.104 -1192.060 936.217 95.091 -2.280 1.128 333.335 0.000 0.277 0.070 1.615
