# time, altitude, r1, r2, r3, r4
1623804496.914 0.000 0.000 0.000 0.000 0.000
1623804497.084 0.000 0.000 0.000 0.000 0.000
1623804497.257 0.000 0.000 0.000 0.000 0.000
1623804497.503 1.623 2.010 1.100 1.460 1.920
1623804497.796 1.470 1.110 0.000 1.360 1.940
1623804498.085 2.080 1.160 2.450 0.000 2.630
1623804498.263 0.000 0.000 0.000 0.000 0.000
1623804498.441 0.000 0.000 0.000 0.000 0.000
1623804498.644 1.637 2.520 1.530 0.000 0.860
1623804498.841 2.250 2.480 2.020 0.000 0.000
1623804499.338 0.000 0.000 0.000 0.000 0.000
1623804499.516 0.000 0.000 0.000 0.000 0.000
1623804499.694 0.000 0.000 0.000 0.000 0.000
1623804499.872 0.000 0.000 0.000 0.000 0.000
1623804500.049 0.000 0.000 0.000 0.000 0.000
1623804500.234 0.000 0.000 0.000 0.000 0.000
1623804500.434 0.000 0.000 0.000 0.000 0.000
1623804500.665 0.000 0.000 0.000 0.000 0.000
1623804500.903 0.000 0.000 0.000 0.000 0.000
1623804501.071 0.000 0.000 0.000 0.000 0.000
1623804501.565 0.000 0.000 0.000 0.000 0.000
1623804501.770 0.000 0.000 0.000 0.000 0.000
1623804501.969 0.000 0.000 0.000 0.000 0.000
1623804502.213 1.420 1.820 1.100 1.530 1.230
1623804502.518 1.553 1.410 0.790 1.410 2.600
1623804502.693 0.000 0.000 0.000 0.000 0.000
1623804502.868 0.000 0.000 0.000 0.000 0.000
1623804503.076 0.000 0.000 0.000 0.000 0.000
1623804503.275 2.107 2.510 1.660 2.150 0.000
1623804503.477 2.200 3.620 2.120 0.860 0.000
1623804503.997 1.935 1.670 0.000 2.200 0.000
1623804504.174 0.000 0.000 0.000 0.000 0.000
1623804504.350 0.000 0.000 0.000 0.000 0.000
1623804504.527 0.000 0.000 0.000 0.000 0.000
1623804504.703 0.000 0.000 0.000 0.000 0.000
1623804504.880 0.000 0.000 0.000 0.000 0.000
1623804505.062 0.000 0.000 0.000 0.000 0.000
1623804505.258 0.000 0.000 0.000 0.000 0.000
1623804505.480 0.000 0.000 0.000 0.000 0.000
1623804505.718 0.000 0.000 0.000 0.000 0.000
1623804506.205 0.000 0.000 0.000 0.000 0.000
1623804506.377 0.000 0.000 0.000 0.000 0.000
