# time, north, east, depth, roll, pitch, yaw, vnorth, veast, vup, altitude
1623820403.718 1158.124 -1635.183 144.977 -1.959 1.580 270.423 0.095 -0.096 -0.266 9.984
1623820403.918 1158.148 -1635.209 145.047 -1.910 1.560 269.379 0.095 -0.106 -0.267 9.918
1623820404.118 1158.177 -1635.242 145.132 -1.849 1.568 268.259 0.096 -0.105 -0.264 9.876
1623820404.318 1158.198 -1635.265 145.191 -1.770 1.530 267.020 0.095 -0.103 -0.266 9.834
1623820404.518 1158.198 -1635.265 145.191 -1.770 1.530 267.020 0.095 -0.103 -0.266 9.810
1623820404.718 1158.223 -1635.291 145.261 -1.660 1.510 265.590 0.094 -0.096 -0.264 9.785
1623820404.918 1158.248 -1635.317 145.331 -1.590 1.490 264.320 0.104 -0.099 -0.269 9.773
1623820405.118 1158.274 -1635.343 145.401 -1.510 1.440 263.176 0.097 -0.101 -0.267 9.709
1623820405.318 1158.274 -1635.343 145.401 -1.510 1.440 263.176 0.097 -0.101 -0.267 9.650
1623820405.518 1158.300 -1635.370 145.476 -1.489 1.430 262.007 0.098 -0.103 -0.265 9.565
1623820405.718 1158.300 -1635.370 145.476 -1.489 1.430 262.007 0.098 -0.103 -0.265 9.533
1623820405.918 1158.300 -1635.370 145.476 -1.489 1.430 262.007 0.098 -0.103 -0.265 9.522
1623820406.118 1158.356 -1635.433 145.633 -1.519 1.480 261.088 0.097 -0.110 -0.271 9.470
1623820406.318 1158.381 -1635.462 145.705 -1.341 1.381 259.128 0.098 -0.107 -0.274 9.426
1623820406.518 1158.406 -1635.491 145.776 -1.329 1.410 258.354 0.094 -0.112 -0.275 9.398
1623820406.718 1158.419 -1635.506 145.805 -1.308 1.404 257.782 0.095 -0.111 -0.275 9.380
1623820406.918 1158.431 -1635.521 145.840 -1.505 1.429 257.844 0.094 -0.115 -0.274 9.299
1623820407.118 1158.455 -1635.551 145.911 -1.767 1.440 257.130 0.092 -0.114 -0.276 9.196
1623820407.318 1158.478 -1635.581 145.982 -2.086 1.460 256.786 0.084 -0.118 -0.275 9.120
1623820407.518 1158.500 -1635.613 146.053 -2.278 1.470 256.806 0.087 -0.129 -0.272 9.050
1623820407.718 1158.500 -1635.613 146.053 -2.278 1.470 256.806 0.087 -0.129 -0.272 9.012
1623820407.918 1158.529 -1635.660 146.126 -2.413 1.499 255.515 0.082 -0.134 -0.273 8.973
1623820408.118 1158.542 -1635.682 146.171 -2.282 1.500 254.852 0.079 -0.137 -0.274 8.947
1623820408.318 1158.562 -1635.717 146.242 -2.032 1.510 252.384 0.085 -0.131 -0.275 8.922
1623820408.518 1158.562 -1635.717 146.242 -2.032 1.510 252.384 0.085 -0.131 -0.275 8.908
1623820408.718 1158.562 -1635.717 146.242 -2.032 1.510 252.384 0.085 -0.131 -0.275 8.903
1623820408.918 1158.562 -1635.717 146.242 -2.032 1.510 252.384 0.085 -0.131 -0.275 8.901
1623820409.118 1158.562 -1635.717 146.242 -2.032 1.510 252.384 0.085 -0.131 -0.275 8.900
