# time, altitude, r1, r2, r3, r4
1623819692.451 0.000 0.000 0.000 0.000 0.000
1623819692.621 0.000 0.000 0.000 0.000 0.000
1623819692.793 0.000 0.000 0.000 0.000 0.000
1623819692.971 0.000 0.000 0.000 0.000 0.000
1623819693.155 0.000 0.000 0.000 0.000 0.000
1623819693.353 0.000 0.000 0.000 0.000 0.000
1623819693.580 0.000 0.000 0.000 0.000 0.000
1623819693.817 0.000 0.000 0.000 0.000 0.000
1623819693.984 0.000 0.000 0.000 0.000 0.000
1623819694.156 0.000 0.000 0.000 0.000 0.000
1623819694.654 0.000 0.000 0.000 0.000 0.000
1623819694.838 0.000 0.000 0.000 0.000 0.000
1623819695.036 0.000 0.000 0.000 0.000 0.000
1623819695.263 0.000 0.000 0.000 0.000 0.000
1623819695.500 0.000 0.000 0.000 0.000 0.000
1623819695.667 0.000 0.000 0.000 0.000 0.000
1623819695.840 0.000 0.000 0.000 0.000 0.000
1623819696.016 0.000 0.000 0.000 0.000 0.000
1623819696.200 0.000 0.000 0.000 0.000 0.000
1623819696.398 0.000 0.000 0.000 0.000 0.000
1623819696.945 0.000 0.000 0.000 0.000 0.000
1623819697.182 0.000 0.000 0.000 0.000 0.000
1623819697.350 0.000 0.000 0.000 0.000 0.000
1623819697.522 0.000 0.000 0.000 0.000 0.000
1623819697.701 0.000 0.000 0.000 0.000 0.000
1623819697.885 0.000 0.000 0.000 0.000 0.000
1623819698.084 0.000 0.000 0.000 0.000 0.000
1623819698.311 0.000 0.000 0.000 0.000 0.000
1623819698.548 0.000 0.000 0.000 0.000 0.000
1623819698.715 0.000 0.000 0.000 0.000 0.000
1623819699.210 0.000 0.000 0.000 0.000 0.000
1623819699.387 0.000 0.000 0.000 0.000 0.000
1623819700.036 0.000 0.000 0.000 0.000 0.000
1623819700.292 0.000 0.000 0.000 0.000 0.000
1623819700.519 0.000 0.000 0.000 0.000 0.000
1623819700.756 0.000 0.000 0.000 0.000 0.000
1623819700.924 0.000 0.000 0.000 0.000 0.000
1623819701.097 0.000 0.000 0.000 0.000 0.000
1623819701.301 0.000 0.000 0.000 0.000 0.000
1623819701.476 0.000 0.000 0.000 0.000 0.000
1623819701.967 0.000 0.000 0.000 0.000 0.000
1623819702.162 1.385 1.010 0.000 1.760 0.000
1623819702.407 1.847 2.280 1.380 1.880 0.000
1623819702.583 0.000 0.000 0.000 0.000 0.000
1623819702.761 0.000 0.000 0.000 0.000 0.000
1623819702.937 0.000 0.000 0.000 0.000 0.000
