# time, north, east, depth, roll, pitch, yaw, vnorth, veast, vup, altitude
1623880805.318 135.084 1284.419 2.020 -6.674 -1.611 102.727 0.002 0.001 -0.002 -0.005
1623880805.518 135.084 1284.419 2.020 -6.590 -0.779 106.345 0.001 0.000 -0.001 -0.008
1623880805.718 135.084 1284.419 2.020 -6.135 0.212 110.777 0.000 0.000 -0.000 -0.010
1623880849.318 160.511 1282.219 6.357 -0.652 3.609 54.489 0.153 -0.064 -0.159 1.160
1623880849.718 160.567 1282.196 6.417 1.228 2.460 53.976 0.148 -0.060 -0.166 1.290
1623880850.518 160.701 1282.143 6.692 0.467 0.091 48.772 0.149 -0.053 -0.184 1.330
1623880850.718 160.701 1282.143 6.692 0.467 0.091 48.772 0.149 -0.053 -0.184 1.330
1623880850.918 160.738 1282.130 6.737 -0.369 -0.200 49.396 0.149 -0.057 -0.183 1.287
1623880851.118 160.738 1282.130 6.737 -0.369 -0.200 49.396 0.149 -0.057 -0.183 1.287
1623880851.718 160.874 1282.076 6.896 -4.806 0.443 51.691 0.157 -0.073 -0.170 0.947
1623880852.318 160.961 1282.032 7.029 -4.043 1.066 55.338 0.152 -0.079 -0.173 0.575
1623880853.118 161.086 1281.969 7.253 0.137 1.632 55.293 0.147 -0.068 -0.187 0.493
1623880853.318 161.086 1281.969 7.253 0.137 1.632 55.293 0.147 -0.068 -0.187 0.493
1623881074.518 184.373 1276.714 54.759 -0.945 1.815 220.665 0.256 0.002 -0.242 9.963
1623881074.718 184.428 1276.715 54.811 -0.564 1.889 220.359 0.254 0.003 -0.239 9.954
1623881074.918 184.428 1276.715 54.811 -0.564 1.889 220.359 0.254 0.003 -0.239 9.963
1623881075.118 184.496 1276.716 54.874 -0.281 1.950 219.876 0.265 0.008 -0.236 9.920
1623881075.318 184.566 1276.718 54.935 -0.080 1.970 219.407 0.269 0.010 -0.233 9.937
1623881075.518 184.637 1276.721 54.996 -0.029 2.010 219.161 0.269 0.012 -0.233 9.919
1623881075.718 184.708 1276.724 55.160 -0.136 2.010 218.936 0.270 0.012 -0.234 9.880
1623881075.918 184.708 1276.724 55.160 -0.136 2.010 218.936 0.270 0.012 -0.234 9.855
1623881076.118 184.778 1276.726 55.221 -0.326 1.961 218.634 0.267 0.009 -0.233 9.702
1623881076.318 184.778 1276.726 55.221 -0.326 1.961 218.634 0.267 0.009 -0.233 9.645
1623881076.518 184.778 1276.726 55.221 -0.326 1.961 218.634 0.267 0.009 -0.233 9.625
1623881076.718 184.932 1276.729 55.357 -1.037 1.900 218.646 0.257 0.002 -0.235 9.498
1623881076.918 184.997 1276.729 55.418 -1.019 1.702 216.861 0.247 0.005 -0.235 9.365
1623881077.118 185.061 1276.729 55.538 -1.087 1.602 216.074 0.246 -0.002 -0.234 9.301
1623881077.318 185.061 1276.729 55.538 -1.087 1.602 216.074 0.246 -0.002 -0.234 9.269
1623881077.518 185.123 1276.727 55.599 -1.109 1.511 215.357 0.231 -0.010 -0.242 9.243
1623881077.718 185.181 1276.724 55.662 -1.070 1.460 214.929 0.223 -0.013 -0.241 9.102
