# time, altitude, r1, r2, r3, r4
1623880788.643 0.000 0.000 0.000 0.000 0.000
1623880788.811 0.000 0.000 0.000 0.000 0.000
1623880788.983 0.000 0.000 0.000 0.000 0.000
1623880789.159 0.000 0.000 0.000 0.000 0.000
1623880789.343 0.000 0.000 0.000 0.000 0.000
1623880789.540 0.000 0.000 0.000 0.000 0.000
1623880789.767 0.000 0.000 0.000 0.000 0.000
1623880790.003 0.000 0.000 0.000 0.000 0.000
1623880790.170 0.000 0.000 0.000 0.000 0.000
1623880790.341 0.000 0.000 0.000 0.000 0.000
1623880790.838 0.000 0.000 0.000 0.000 0.000
1623880791.021 0.000 0.000 0.000 0.000 0.000
1623880791.220 0.000 0.000 0.000 0.000 0.000
1623880791.447 0.000 0.000 0.000 0.000 0.000
1623880791.685 0.000 0.000 0.000 0.000 0.000
1623880791.853 0.000 0.000 0.000 0.000 0.000
1623880792.026 0.000 0.000 0.000 0.000 0.000
1623880792.229 0.000 0.000 0.000 0.000 0.000
1623880792.400 0.000 0.000 0.000 0.000 0.000
1623880792.570 0.000 0.000 0.000 0.000 0.000
1623880793.064 0.000 0.000 0.000 0.000 0.000
1623880793.234 0.000 0.000 0.000 0.000 0.000
1623880793.408 0.000 0.000 0.000 0.000 0.000
1623880793.588 0.000 0.000 0.000 0.000 0.000
1623880793.781 0.000 0.000 0.000 0.000 0.000
1623880794.000 0.000 0.000 0.000 0.000 0.000
1623880794.236 0.000 0.000 0.000 0.000 0.000
1623880794.404 0.000 0.000 0.000 0.000 0.000
1623880794.576 0.000 0.000 0.000 0.000 0.000
1623880794.752 0.000 0.000 0.000 0.000 0.000
1623880795.258 0.000 0.000 0.000 0.000 0.000
1623880795.456 0.000 0.000 0.000 0.000 0.000
1623880795.682 0.000 0.000 0.000 0.000 0.000
1623880795.919 0.000 0.000 0.000 0.000 0.000
1623880796.815 0.000 0.000 0.000 0.000 0.000
1623880797.093 1.395 0.000 1.140 1.650 0.000
