# time, altitude, r1, r2, r3, r4
1623885467.255 0.000 0.000 0.000 0.000 0.000
1623885467.423 0.000 0.000 0.000 0.000 0.000
1623885467.595 0.000 0.000 0.000 0.000 0.000
1623885467.772 0.000 0.000 0.000 0.000 0.000
1623885467.956 0.000 0.000 0.000 0.000 0.000
1623885468.155 0.000 0.000 0.000 0.000 0.000
1623885468.382 0.000 0.000 0.000 0.000 0.000
1623885468.621 0.000 0.000 0.000 0.000 0.000
1623885468.789 0.000 0.000 0.000 0.000 0.000
1623885468.962 0.000 0.000 0.000 0.000 0.000
1623885469.463 0.000 0.000 0.000 0.000 0.000
1623885469.648 0.000 0.000 0.000 0.000 0.000
1623885469.845 0.000 0.000 0.000 0.000 0.000
1623885470.587 0.000 0.000 0.000 0.000 0.000
1623885470.839 0.000 0.000 0.000 0.000 0.000
1623885471.007 0.000 0.000 0.000 0.000 0.000
1623885471.179 0.000 0.000 0.000 0.000 0.000
1623885471.355 0.000 0.000 0.000 0.000 0.000
1623885471.539 0.000 0.000 0.000 0.000 0.000
1623885471.737 0.000 0.000 0.000 0.000 0.000
1623885472.279 0.000 0.000 0.000 0.000 0.000
1623885472.518 0.000 0.000 0.000 0.000 0.000
1623885472.685 0.000 0.000 0.000 0.000 0.000
1623885472.857 0.000 0.000 0.000 0.000 0.000
1623885473.034 0.000 0.000 0.000 0.000 0.000
1623885473.218 0.000 0.000 0.000 0.000 0.000
1623885473.415 0.000 0.000 0.000 0.000 0.000
1623885473.643 0.000 0.000 0.000 0.000 0.000
1623885473.881 0.000 0.000 0.000 0.000 0.000
1623885474.049 0.000 0.000 0.000 0.000 0.000
1623885474.539 0.000 0.000 0.000 0.000 0.000
1623885474.716 0.000 0.000 0.000 0.000 0.000
1623885474.901 0.000 0.000 0.000 0.000 0.000
1623885475.100 0.000 0.000 0.000 0.000 0.000
1623885475.328 0.000 0.000 0.000 0.000 0.000
1623885475.566 0.000 0.000 0.000 0.000 0.000
1623885475.734 0.000 0.000 0.000 0.000 0.000
1623885475.906 0.000 0.000 0.000 0.000 0.000
1623885476.083 0.000 0.000 0.000 0.000 0.000
1623885476.266 0.000 0.000 0.000 0.000 0.000
