# time, north, east, depth, roll, pitch, yaw, vnorth, veast, vup, altitude
1623887539.873 -105.777 1222.020 57.885 -1.821 1.420 232.297 0.079 -0.038 -0.250 9.972
1623887540.073 -105.758 1222.010 57.949 -1.641 1.430 231.865 0.067 -0.042 -0.242 9.854
1623887540.273 -105.741 1221.997 58.026 -1.361 1.479 231.492 0.060 -0.056 -0.238 9.657
1623887540.473 -105.727 1221.981 58.086 -1.092 1.480 231.609 0.050 -0.068 -0.232 9.517
1623887540.673 -105.716 1221.961 58.146 -0.812 1.490 231.832 0.040 -0.086 -0.227 9.455
1623887540.873 -105.716 1221.961 58.146 -0.812 1.490 231.832 0.040 -0.086 -0.227 9.452
1623887541.073 -105.706 1221.939 58.204 -0.690 1.500 231.989 0.035 -0.088 -0.219 9.365
1623887541.273 -105.697 1221.914 58.260 -0.669 1.490 232.541 0.033 -0.105 -0.212 9.351
1623887541.473 -105.689 1221.889 58.437 -0.595 1.438 232.653 0.033 -0.105 -0.235 9.357
1623887541.673 -105.689 1221.889 58.437 -0.595 1.438 232.653 0.033 -0.105 -0.235 9.359
1623887541.873 -105.678 1221.850 58.513 -1.107 1.540 234.643 0.029 -0.115 -0.208 9.316
1623887542.073 -105.670 1221.819 58.567 -1.159 1.392 234.225 0.036 -0.123 -0.210 9.229
1623887542.273 -105.670 1221.819 58.567 -1.159 1.392 234.225 0.036 -0.123 -0.210 9.170
1623887542.473 -105.659 1221.787 58.621 -1.337 1.350 234.289 0.045 -0.123 -0.211 9.205
1623887542.673 -105.646 1221.755 58.675 -1.498 1.380 234.330 0.057 -0.125 -0.207 9.086
1623887542.873 -105.630 1221.723 58.884 -1.559 1.360 234.150 0.068 -0.125 -0.211 9.091
1623887543.073 -105.610 1221.691 58.938 -1.520 1.320 234.045 0.083 -0.123 -0.211 9.018
1623887543.273 -105.610 1221.691 58.938 -1.520 1.320 234.045 0.083 -0.123 -0.211 8.928
1623887543.473 -105.587 1221.659 58.993 -1.411 1.310 233.724 0.097 -0.124 -0.214 8.863
1623887543.673 -105.559 1221.628 59.047 -1.242 1.270 232.909 0.118 -0.119 -0.209 8.824
1623887543.873 -105.528 1221.597 59.102 -1.032 1.270 232.465 0.130 -0.116 -0.213 8.755
1623887544.073 -105.511 1221.582 59.275 -1.018 1.241 232.410 0.130 -0.116 -0.222 8.701
