# time, north, east, depth, roll, pitch, yaw, vnorth, veast, vup, altitude
1623892269.403 526.297 1293.183 49.050 -3.418 1.559 339.954 -0.207 0.411 -0.233 9.978
1623892269.603 526.237 1293.294 49.055 -3.619 1.600 340.280 -0.231 0.403 -0.230 9.954
1623892269.803 526.237 1293.294 49.055 -3.619 1.600 340.280 -0.231 0.403 -0.230 9.956
1623892270.003 526.177 1293.396 49.113 -3.777 1.620 341.046 -0.243 0.405 -0.224 9.783
1623892270.203 526.113 1293.501 49.171 -3.829 1.650 341.569 -0.241 0.403 -0.219 9.713
1623892270.403 526.049 1293.606 49.228 -3.839 1.601 342.772 -0.238 0.403 -0.218 9.641
1623892270.603 526.049 1293.606 49.228 -3.839 1.601 342.772 -0.238 0.403 -0.218 9.590
1623892270.803 525.986 1293.712 49.284 -3.809 1.659 343.541 -0.243 0.416 -0.213 9.524
1623892271.003 525.924 1293.819 49.323 -3.701 1.591 344.447 -0.227 0.410 -0.208 9.464
1623892271.203 525.924 1293.819 49.323 -3.701 1.591 344.447 -0.227 0.410 -0.208 9.443
1623892271.403 525.924 1293.819 49.323 -3.701 1.591 344.447 -0.227 0.410 -0.208 9.435
1623892271.603 525.799 1294.067 49.440 -3.439 1.600 345.103 -0.195 0.439 -0.191 9.408
1623892271.803 525.750 1294.183 49.489 -3.182 1.462 346.446 -0.167 0.448 -0.183 9.387
1623892272.003 525.710 1294.302 49.536 -3.050 1.331 347.034 -0.138 0.466 -0.180 9.329
1623892272.203 525.691 1294.365 49.653 -3.037 1.312 347.276 -0.136 0.467 -0.183 9.281
1623892272.403 525.677 1294.423 49.674 -3.019 1.261 347.185 -0.116 0.472 -0.177 9.306
1623892272.603 525.651 1294.545 49.719 -2.881 1.161 346.870 -0.091 0.480 -0.173 9.298
1623892272.803 525.630 1294.670 49.763 -2.929 1.140 346.692 -0.070 0.488 -0.167 9.233
1623892273.003 525.630 1294.670 49.763 -2.929 1.140 346.692 -0.070 0.488 -0.167 9.177
1623892273.203 525.615 1294.798 49.806 -2.939 1.169 346.072 -0.050 0.503 -0.167 9.158
1623892273.403 525.605 1294.930 49.849 -2.989 1.160 345.350 -0.032 0.515 -0.164 9.095
1623892273.603 525.599 1295.064 50.079 -3.058 1.129 344.699 -0.014 0.526 -0.166 9.045
1623892273.803 525.599 1295.064 50.079 -3.058 1.129 344.699 -0.014 0.526 -0.166 9.010
1623892274.003 525.598 1295.201 50.122 -3.158 1.189 344.340 -0.003 0.542 -0.165 9.029
1623892274.203 525.598 1295.201 50.122 -3.158 1.189 344.340 -0.003 0.542 -0.165 9.036
1623892274.403 525.606 1295.522 50.221 -3.458 1.449 343.553 0.024 0.559 -0.170 9.019
1623892274.603 525.606 1295.522 50.221 -3.458 1.449 343.553 0.024 0.559 -0.170 9.001
1623892274.803 525.615 1295.683 50.486 -3.391 1.437 344.280 0.044 0.565 -0.177 8.969
1623892275.003 525.627 1295.812 50.526 -3.369 1.529 344.309 0.062 0.570 -0.181 8.981
1623892275.203 525.645 1295.959 50.573 -3.369 1.639 344.330 0.078 0.573 -0.182 9.016
1623892275.403 525.645 1295.959 50.573 -3.369 1.639 344.330 0.078 0.573 -0.182 9.037
1623892275.603 525.668 1296.106 50.621 -3.240 1.729 343.981 0.095 0.571 -0.188 9.007
1623892275.803 525.694 1296.253 50.670 -3.060 1.760 343.833 0.110 0.575 -0.194 8.971
