# time, north, east, depth, roll, pitch, yaw, vnorth, veast, vup, altitude
1623901356.553 1005.910 -1808.101 129.766 -1.000 1.769 295.764 -0.041 0.030 -0.263 9.940
1623901356.953 1005.889 -1808.082 129.903 -0.880 1.800 294.372 -0.031 0.035 -0.257 9.908
1623901357.153 1005.879 -1808.071 129.970 -0.800 1.780 293.873 -0.043 0.047 -0.256 9.861
1623901357.353 1005.879 -1808.071 129.970 -0.800 1.780 293.873 -0.043 0.047 -0.256 9.837
1623901357.553 1005.868 -1808.057 130.061 -0.691 1.771 293.113 -0.037 0.048 -0.253 9.815
1623901357.753 1005.860 -1808.045 130.119 -0.659 1.721 292.544 -0.031 0.059 -0.250 9.734
1623901357.953 1005.853 -1808.028 130.184 -0.600 1.671 291.789 -0.023 0.065 -0.250 9.695
1623901358.153 1005.853 -1808.028 130.184 -0.600 1.671 291.789 -0.023 0.065 -0.250 9.674
1623901358.353 1005.853 -1808.028 130.184 -0.600 1.671 291.789 -0.023 0.065 -0.250 9.667
1623901358.553 1005.842 -1807.986 130.328 -0.669 1.680 290.309 -0.016 0.081 -0.244 9.584
1623901358.753 1005.840 -1807.964 130.450 -0.610 1.562 289.021 -0.008 0.090 -0.243 9.523
1623901358.953 1005.840 -1807.964 130.450 -0.610 1.562 289.021 -0.008 0.090 -0.243 9.512
1623901359.153 1005.838 -1807.940 130.513 -0.708 1.491 288.143 -0.004 0.097 -0.241 9.406
1623901359.353 1005.838 -1807.913 130.575 -0.897 1.440 287.270 -0.000 0.107 -0.239 9.473
1623901359.553 1005.838 -1807.884 130.638 -1.147 1.420 286.443 0.003 0.117 -0.239 9.399
1623901359.753 1005.838 -1807.884 130.638 -1.147 1.420 286.443 0.003 0.117 -0.239 9.311
1623901359.953 1005.841 -1807.838 130.816 -1.433 1.374 285.059 0.008 0.114 -0.242 9.317
1623901360.153 1005.842 -1807.826 130.842 -1.685 1.419 284.762 0.009 0.113 -0.237 9.115
1623901360.353 1005.846 -1807.797 130.903 -1.868 1.420 284.080 0.015 0.114 -0.238 9.093
1623901360.553 1005.850 -1807.768 130.964 -1.989 1.469 283.194 0.017 0.113 -0.237 9.082
1623901360.753 1005.850 -1807.768 130.964 -1.989 1.469 283.194 0.017 0.113 -0.237 9.057
1623901360.953 1005.857 -1807.739 131.025 -2.000 1.539 282.423 0.033 0.111 -0.238 9.015
1623901361.153 1005.857 -1807.739 131.025 -2.000 1.539 282.423 0.033 0.111 -0.238 8.999
1623901361.353 1005.870 -1807.697 131.194 -2.117 1.445 281.223 0.031 0.111 -0.269 8.993
1623901361.553 1005.876 -1807.671 131.244 -1.940 1.819 281.181 0.030 0.123 -0.234 8.909
1623901361.753 1005.884 -1807.639 131.304 -1.693 1.761 279.590 0.031 0.127 -0.238 8.737
1623901361.953 1005.894 -1807.607 131.365 -1.551 1.819 278.366 0.041 0.129 -0.236 8.749
1623901362.153 1005.905 -1807.574 131.425 -1.371 1.850 277.097 0.040 0.127 -0.235 8.712
1623901362.353 1005.905 -1807.574 131.425 -1.371 1.850 277.097 0.040 0.127 -0.235 8.646
1623901362.553 1005.918 -1807.536 131.562 -1.229 1.841 275.794 0.048 0.136 -0.236 8.686
1623901362.753 1005.929 -1807.504 131.614 -1.062 1.811 274.709 0.052 0.150 -0.237 8.592
1623901362.953 1005.944 -1807.467 131.674 -1.000 1.761 273.127 0.055 0.143 -0.236 8.606
1623901363.153 1005.944 -1807.467 131.674 -1.000 1.761 273.127 0.055 0.143 -0.236 8.640
1623901363.353 1005.958 -1807.430 131.736 -0.930 1.711 271.908 0.058 0.143 -0.242 8.550
1623901363.553 1005.973 -1807.394 131.798 -0.979 1.670 270.812 0.055 0.139 -0.246 8.499
1623901363.753 1005.988 -1807.356 131.910 -1.097 1.630 269.629 0.049 0.145 -0.250 8.443
1623901363.953 1005.988 -1807.356 131.910 -1.097 1.630 269.629 0.049 0.145 -0.250 8.400
1623901364.153 1005.988 -1807.356 131.910 -1.097 1.630 269.629 0.049 0.145 -0.250 8.384
1623901364.353 1006.016 -1807.279 132.053 -1.738 1.760 268.915 0.052 0.136 -0.260 8.299
1623901364.553 1006.030 -1807.245 132.118 -1.789 1.651 267.075 0.053 0.136 -0.264 8.235
1623901364.753 1006.042 -1807.213 132.184 -1.898 1.679 265.933 0.044 0.124 -0.267 8.165
