# time, altitude, r1, r2, r3, r4
1623900718.883 0.000 0.000 0.000 0.000 0.000
1623900719.052 0.000 0.000 0.000 0.000 0.000
1623900719.225 0.000 0.000 0.000 0.000 0.000
1623900719.428 0.000 0.000 0.000 0.000 0.000
1623900719.600 0.000 0.000 0.000 0.000 0.000
1623900719.771 0.000 0.000 0.000 0.000 0.000
1623900719.942 0.000 0.000 0.000 0.000 0.000
1623900720.113 0.000 0.000 0.000 0.000 0.000
1623900720.289 0.000 0.000 0.000 0.000 0.000
1623900720.471 0.000 0.000 0.000 0.000 0.000
1623900720.986 0.000 0.000 0.000 0.000 0.000
1623900721.204 0.000 0.000 0.000 0.000 0.000
1623900721.441 0.000 0.000 0.000 0.000 0.000
1623900721.608 0.000 0.000 0.000 0.000 0.000
1623900721.780 0.000 0.000 0.000 0.000 0.000
1623900721.956 0.000 0.000 0.000 0.000 0.000
1623900722.140 0.000 0.000 0.000 0.000 0.000
1623900722.337 0.000 0.000 0.000 0.000 0.000
1623900722.564 0.000 0.000 0.000 0.000 0.000
1623900722.802 0.000 0.000 0.000 0.000 0.000
1623900723.292 0.000 0.000 0.000 0.000 0.000
1623900723.466 0.000 0.000 0.000 0.000 0.000
1623900723.666 0.000 0.000 0.000 0.000 0.000
1623900723.834 0.000 0.000 0.000 0.000 0.000
1623900724.002 0.000 0.000 0.000 0.000 0.000
1623900724.170 0.000 0.000 0.000 0.000 0.000
1623900724.339 0.000 0.000 0.000 0.000 0.000
1623900724.512 0.000 0.000 0.000 0.000 0.000
1623900724.688 0.000 0.000 0.000 0.000 0.000
1623900724.872 0.000 0.000 0.000 0.000 0.000
1623900725.394 0.000 0.000 0.000 0.000 0.000
1623900725.623 0.000 0.000 0.000 0.000 0.000
1623900725.861 0.000 0.000 0.000 0.000 0.000
1623900726.029 0.000 0.000 0.000 0.000 0.000
1623900726.202 0.000 0.000 0.000 0.000 0.000
1623900727.096 0.000 0.000 0.000 0.000 0.000
1623900727.295 0.000 0.000 0.000 0.000 0.000
1623900727.523 0.000 0.000 0.000 0.000 0.000
1623900727.760 0.000 0.000 0.000 0.000 0.000
