# time, north, east, depth, roll, pitch, yaw, vnorth, veast, vup, altitude
1623906655.461 706.544 -1792.920 114.900 -2.315 1.815 351.484 -0.060 0.505 -0.183 9.995
1623906655.661 706.533 -1792.821 114.932 -2.367 1.849 351.808 -0.050 0.508 -0.159 9.938
1623906655.861 706.521 -1792.688 114.972 -2.329 1.810 351.861 -0.041 0.512 -0.143 9.887
1623906656.061 706.521 -1792.688 114.972 -2.329 1.810 351.861 -0.041 0.512 -0.143 9.857
1623906656.261 706.512 -1792.554 115.006 -2.348 1.761 351.950 -0.028 0.509 -0.119 9.827
1623906656.461 706.512 -1792.554 115.006 -2.348 1.761 351.950 -0.028 0.509 -0.119 9.816
1623906656.661 706.512 -1792.554 115.006 -2.348 1.761 351.950 -0.028 0.509 -0.119 9.812
1623906656.861 706.498 -1792.255 115.146 -2.309 1.760 351.562 -0.021 0.513 -0.066 9.737
1623906657.061 706.493 -1792.121 115.161 -2.170 1.651 352.886 -0.009 0.516 -0.051 9.663
1623906657.261 706.491 -1791.987 115.172 -1.921 1.620 352.636 -0.006 0.516 -0.034 9.651
1623906657.461 706.491 -1791.987 115.172 -1.921 1.620 352.636 -0.006 0.516 -0.034 9.673
1623906657.661 706.491 -1791.852 115.179 -1.899 1.699 353.193 0.008 0.513 -0.018 9.606
1623906657.861 706.493 -1791.720 115.181 -1.780 1.710 353.347 0.010 0.506 -0.001 9.590
1623906658.061 706.497 -1791.588 115.210 -1.709 1.828 353.460 0.018 0.506 0.014 9.587
1623906658.261 706.497 -1791.588 115.210 -1.709 1.828 353.460 0.018 0.506 0.014 9.589
1623906658.461 706.502 -1791.457 115.204 -1.560 1.889 353.090 0.019 0.498 0.027 9.596
1623906658.661 706.508 -1791.327 115.195 -1.548 1.920 352.795 0.024 0.489 0.042 9.605
1623906658.861 706.514 -1791.199 115.182 -1.529 1.960 352.161 0.016 0.496 0.058 9.610
1623906659.061 706.518 -1791.071 115.165 -1.578 1.931 351.886 0.013 0.487 0.072 9.613
1623906659.261 706.519 -1791.006 115.127 -1.552 1.942 351.871 0.013 0.487 0.074 9.614
1623906659.461 706.519 -1791.006 115.127 -1.552 1.942 351.871 0.013 0.487 0.074 9.615
1623906659.661 706.523 -1790.795 115.085 -1.868 1.850 350.644 -0.004 0.455 0.103 9.691
1623906659.861 706.523 -1790.795 115.085 -1.868 1.850 350.644 -0.004 0.455 0.103 9.765
1623906660.061 706.521 -1790.677 115.057 -1.810 1.672 351.176 -0.008 0.449 0.111 9.839
1623906660.261 706.517 -1790.560 115.027 -1.868 1.630 351.115 -0.021 0.448 0.121 9.850
1623906660.461 706.510 -1790.433 114.931 -1.927 1.459 351.099 -0.027 0.436 0.123 9.832
1623906660.661 706.510 -1790.433 114.931 -1.927 1.459 351.099 -0.027 0.436 0.123 9.818
1623906660.861 706.503 -1790.330 114.903 -1.880 1.282 350.900 -0.038 0.434 0.121 9.862
1623906661.061 706.492 -1790.216 114.870 -1.860 1.161 350.873 -0.048 0.437 0.126 9.911
1623906661.261 706.478 -1790.103 114.837 -1.820 0.942 350.911 -0.056 0.433 0.122 9.868
1623906661.461 706.478 -1790.103 114.837 -1.820 0.942 350.911 -0.056 0.433 0.122 9.816
1623906661.661 706.462 -1789.988 114.805 -1.859 0.741 351.322 -0.061 0.442 0.122 9.766
1623906661.861 706.447 -1789.873 114.690 -1.830 0.562 351.433 -0.061 0.441 0.119 9.726
1623906662.061 706.430 -1789.757 114.659 -1.840 0.411 351.583 -0.065 0.448 0.123 9.742
1623906662.261 706.430 -1789.757 114.659 -1.840 0.411 351.583 -0.065 0.448 0.123 9.766
1623906662.461 706.430 -1789.757 114.659 -1.840 0.411 351.583 -0.065 0.448 0.123 9.775
1623906662.661 706.387 -1789.495 114.583 -2.029 0.410 350.989 -0.085 0.443 0.134 9.877
1623906662.861 706.363 -1789.377 114.547 -2.000 0.300 352.204 -0.087 0.454 0.136 9.978
1623906664.461 706.220 -1788.656 114.188 -1.961 0.849 353.097 -0.092 0.458 0.086 9.992
1623906664.661 706.220 -1788.656 114.188 -1.961 0.849 353.097 -0.092 0.458 0.086 9.994
1623906668.261 705.862 -1786.991 113.958 -1.699 0.958 350.271 -0.104 0.471 0.009 9.999
1623906668.461 705.862 -1786.991 113.958 -1.699 0.958 350.271 -0.104 0.471 0.009 9.979
1623906668.661 705.810 -1786.763 113.955 -1.789 1.239 349.813 -0.115 0.484 0.007 9.989
1623906668.861 705.781 -1786.635 113.953 -1.621 1.240 350.753 -0.099 0.483 0.008 10.000
1623906669.061 705.755 -1786.508 113.950 -1.619 1.220 351.203 -0.099 0.488 0.020 9.975
1623906669.261 705.755 -1786.508 113.950 -1.619 1.220 351.203 -0.099 0.488 0.020 9.947
1623906669.661 705.710 -1786.254 114.009 -1.739 1.320 351.946 -0.073 0.482 0.029 9.996
1623906669.861 705.692 -1786.128 114.000 -1.819 1.399 352.167 -0.062 0.483 0.034 9.956
