# time, altitude, r1, r2, r3, r4
1623906068.371 0.000 0.000 0.000 0.000 0.000
1623906068.541 0.000 0.000 0.000 0.000 0.000
1623906068.714 0.000 0.000 0.000 0.000 0.000
1623906068.891 0.000 0.000 0.000 0.000 0.000
1623906069.076 0.000 0.000 0.000 0.000 0.000
1623906069.275 0.000 0.000 0.000 0.000 0.000
1623906069.503 0.000 0.000 0.000 0.000 0.000
1623906069.741 0.000 0.000 0.000 0.000 0.000
1623906069.907 0.000 0.000 0.000 0.000 0.000
1623906070.079 0.000 0.000 0.000 0.000 0.000
1623906070.580 0.000 0.000 0.000 0.000 0.000
1623906070.765 0.000 0.000 0.000 0.000 0.000
1623906070.964 0.000 0.000 0.000 0.000 0.000
1623906071.192 0.000 0.000 0.000 0.000 0.000
1623906071.429 0.000 0.000 0.000 0.000 0.000
1623906071.597 0.000 0.000 0.000 0.000 0.000
1623906071.770 0.000 0.000 0.000 0.000 0.000
1623906071.947 0.000 0.000 0.000 0.000 0.000
1623906072.131 0.000 0.000 0.000 0.000 0.000
1623906072.330 0.000 0.000 0.000 0.000 0.000
1623906072.880 0.000 0.000 0.000 0.000 0.000
1623906073.118 0.000 0.000 0.000 0.000 0.000
1623906073.287 0.000 0.000 0.000 0.000 0.000
1623906073.460 0.000 0.000 0.000 0.000 0.000
1623906073.639 0.000 0.000 0.000 0.000 0.000
1623906073.824 0.000 0.000 0.000 0.000 0.000
1623906074.023 0.000 0.000 0.000 0.000 0.000
1623906074.251 0.000 0.000 0.000 0.000 0.000
1623906074.489 0.000 0.000 0.000 0.000 0.000
1623906074.657 0.000 0.000 0.000 0.000 0.000
1623906075.154 0.000 0.000 0.000 0.000 0.000
1623906075.331 0.000 0.000 0.000 0.000 0.000
1623906075.516 0.000 0.000 0.000 0.000 0.000
1623906075.715 0.000 0.000 0.000 0.000 0.000
1623906075.942 0.000 0.000 0.000 0.000 0.000
1623906076.181 0.000 0.000 0.000 0.000 0.000
1623906076.349 0.000 0.000 0.000 0.000 0.000
1623906076.550 0.000 0.000 0.000 0.000 0.000
1623906076.721 0.000 0.000 0.000 0.000 0.000
1623906076.891 0.000 0.000 0.000 0.000 0.000
1623906077.387 0.000 0.000 0.000 0.000 0.000
1623906077.557 0.000 0.000 0.000 0.000 0.000
1623906077.732 0.000 0.000 0.000 0.000 0.000
1623906077.911 0.000 0.000 0.000 0.000 0.000
