# time, north, east, depth, roll, pitch, yaw, vnorth, veast, vup, altitude
1427844399.081 3959.009 1939.000 37.480 -1.097 3.870 64.170 0.134 -0.064 -0.293 9.929
1427844399.281 3959.009 1939.000 37.480 -1.097 3.870 64.170 0.134 -0.064 -0.293 9.835
1427844399.481 3959.043 1938.983 37.556 -0.840 3.742 64.942 0.130 -0.065 -0.286 9.821
1427844399.681 3959.078 1938.964 37.629 -0.729 3.701 64.561 0.138 -0.076 -0.288 9.747
1427844399.881 3959.115 1938.944 37.704 -0.737 3.680 64.260 0.140 -0.074 -0.287 9.668
1427844400.081 3959.115 1938.944 37.704 -0.737 3.680 64.260 0.140 -0.074 -0.287 9.633
1427844400.281 3959.151 1938.925 37.779 -0.827 3.641 63.466 0.140 -0.076 -0.288 9.555
1427844400.481 3959.188 1938.905 37.854 -0.907 3.630 62.961 0.143 -0.072 -0.290 9.451
1427844400.681 3959.224 1938.886 37.929 -1.174 3.541 62.770 0.138 -0.079 -0.292 9.379
1427844400.881 3959.247 1938.873 37.971 -1.161 3.542 62.414 0.138 -0.078 -0.291 9.332
1427844401.081 3959.259 1938.866 37.998 -1.315 3.520 61.963 0.136 -0.072 -0.295 9.277
1427844401.281 3959.295 1938.849 38.075 -1.525 3.530 61.505 0.139 -0.065 -0.300 9.227
1427844401.481 3959.330 1938.833 38.152 -1.646 3.490 61.091 0.135 -0.059 -0.297 9.197
1427844401.681 3959.162 1939.149 38.152 -1.646 3.490 61.091 0.135 -0.059 -0.297 9.180
1427844401.881 3959.162 1939.149 38.152 -1.646 3.490 61.091 0.135 -0.059 -0.297 9.174
1427844402.081 3959.249 1939.113 38.335 -2.050 3.688 59.345 0.133 -0.050 -0.304 9.056
1427844402.281 3959.273 1939.103 38.390 -1.958 3.641 59.731 0.129 -0.052 -0.306 8.949
1427844402.481 3959.273 1939.103 38.390 -1.958 3.641 59.731 0.129 -0.052 -0.306 8.913
1427844402.681 3959.306 1939.091 38.469 -1.818 3.640 59.258 0.130 -0.046 -0.308 8.858
1427844402.881 3959.339 1939.079 38.548 -1.708 3.650 58.897 0.127 -0.045 -0.308 8.799
1427844403.081 3959.372 1939.066 38.626 -1.558 3.670 58.181 0.130 -0.049 -0.300 8.762
