# time, altitude, r1, r2, r3, r4
1427843785.567 0.000 0.000 0.000 0.000 0.000
1427843785.736 0.000 0.000 0.000 0.000 0.000
1427843785.908 0.000 0.000 0.000 0.000 0.000
1427843786.085 0.000 0.000 0.000 0.000 0.000
1427843786.268 0.000 0.000 0.000 0.000 0.000
1427843786.466 0.000 0.000 0.000 0.000 0.000
1427843786.692 0.000 0.000 0.000 0.000 0.000
1427843786.948 0.000 0.000 0.000 0.000 0.000
1427843787.250 44.680 0.000 44.680 44.680 44.680
1427843787.600 44.680 44.680 44.680 44.680 44.680
1427843788.230 44.680 44.680 0.000 44.680 44.680
1427843788.530 44.680 44.680 0.000 44.680 44.680
1427843788.785 0.000 0.000 0.000 0.000 0.000
1427843789.040 0.000 0.000 0.000 0.000 0.000
1427843789.296 0.000 0.000 0.000 0.000 0.000
1427843789.551 0.000 0.000 0.000 0.000 0.000
1427843789.806 0.000 0.000 0.000 0.000 0.000
1427843789.974 0.000 0.000 0.000 0.000 0.000
1427843790.147 0.000 0.000 0.000 0.000 0.000
1427843790.323 0.000 0.000 0.000 0.000 0.000
1427843790.835 0.000 0.000 0.000 0.000 0.000
1427843791.033 0.000 0.000 0.000 0.000 0.000
1427843791.259 0.000 0.000 0.000 0.000 0.000
1427843791.514 0.000 0.000 0.000 0.000 0.000
1427843791.683 0.000 0.000 0.000 0.000 0.000
1427843791.855 0.000 0.000 0.000 0.000 0.000
1427843792.032 0.000 0.000 0.000 0.000 0.000
1427843792.215 0.000 0.000 0.000 0.000 0.000
1427843792.413 0.000 0.000 0.000 0.000 0.000
1427843792.639 0.000 0.000 0.000 0.000 0.000
1427843793.225 0.000 0.000 0.000 0.000 0.000
1427843793.526 44.680 44.680 0.000 44.680 44.680
1427843793.826 44.360 43.720 0.000 44.680 44.680
1427843794.081 0.000 0.000 0.000 0.000 0.000
1427843794.337 0.000 0.000 0.000 0.000 0.000
1427843794.592 0.000 0.000 0.000 0.000 0.000
1427843794.894 44.360 43.720 0.000 44.680 44.680
1427843795.194 44.680 44.680 0.000 44.680 44.680
1427843795.449 0.000 0.000 0.000 0.000 0.000
1427843795.750 44.680 44.680 44.680 0.000 44.680
1427843796.330 0.000 0.000 0.000 0.000 0.000
1427843796.586 0.000 0.000 0.000 0.000 0.000
1427843796.841 0.000 0.000 0.000 0.000 0.000
1427843797.192 44.680 44.680 44.680 44.680 44.680
1427843797.544 44.680 44.680 44.680 44.680 44.680
1427843797.846 44.680 44.680 0.000 44.680 44.680
1427843798.146 44.680 44.680 0.000 44.680 44.680
1427843798.401 0.000 0.000 0.000 0.000 0.000
1427843798.657 0.000 0.000 0.000 0.000 0.000
1427843798.912 0.000 0.000 0.000 0.000 0.000
1427843799.546 44.680 44.680 0.000 44.680 44.680
1427843799.801 0.000 0.000 0.000 0.000 0.000
1427843800.057 0.000 0.000 0.000 0.000 0.000
1427843800.358 44.680 44.680 44.680 0.000 44.680
